source,edge_id,osm_way_id,direction,node_count,first_node_id,last_node_id,highway,access_status,access_reason,structure_status,oneway,oneway_bicycle,junction,bicycle,access,vehicle,surface,smoothness,tracktype,bridge,tunnel,covered,layer,selected_for_profile
live,osm-way-8658213-forward,8658213,forward,9,61777194,61777216,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-8658213-reverse,8658213,reverse,9,61777216,61777194,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-8658215-forward,8658215,forward,23,61777233,61777813,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-8658215-reverse,8658215,reverse,23,61777813,61777233,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-8658216-forward,8658216,forward,8,2402929997,2402930074,service,prohibited,access=private without bicycle override,normal,,,,,private,,,,,,,,,False
live,osm-way-8658216-reverse,8658216,reverse,8,2402930074,2402929997,service,prohibited,access=private without bicycle override,normal,,,,,private,,,,,,,,,False
live,osm-way-8658257-forward,8658257,forward,11,61777813,61777820,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-8658257-reverse,8658257,reverse,11,61777820,61777813,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-8658258-forward,8658258,forward,18,61777820,61777831,service,admissible,highway=service cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-8658258-reverse,8658258,reverse,18,61777831,61777820,service,admissible,highway=service cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-8658259-forward,8658259,forward,14,61777820,1711921264,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-8658259-reverse,8658259,reverse,14,1711921264,61777820,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-10256227-forward,10256227,forward,2,61777813,85348437,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-10256227-reverse,10256227,reverse,2,85348437,61777813,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-23256025-forward,23256025,forward,5,1459649559,251670336,primary,admissible,highway=primary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-23256122-forward,23256122,forward,14,2424615072,251671407,primary,admissible,highway=primary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-23256131-forward,23256131,forward,11,251671643,312840898,primary,admissible,highway=primary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-23257817-forward,23257817,forward,78,251693409,6593565000,track,review,highway=track carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-23257817-reverse,23257817,reverse,78,6593565000,251693409,track,review,highway=track carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-23258945-forward,23258945,forward,5,251695513,251695516,track,review,highway=track carries no bicycle permission,tunnel,,,,,,,,,,,yes,,-1,False
live,osm-way-23258945-reverse,23258945,reverse,5,251695516,251695513,track,review,highway=track carries no bicycle permission,tunnel,,,,,,,,,,,yes,,-1,False
live,osm-way-23258946-forward,23258946,forward,4,11291294710,251695519,track,review,highway=track carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-23258946-reverse,23258946,reverse,4,251695519,11291294710,track,review,highway=track carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-23370661-forward,23370661,forward,7,380791,93848458,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-23370661-reverse,23370661,reverse,7,93848458,380791,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-23370662-forward,23370662,forward,2,93848453,7093859570,footway,prohibited,bicycle=no,tunnel,,,,no,no,,,,,,yes,,-1,False
live,osm-way-23370662-reverse,23370662,reverse,2,7093859570,93848453,footway,prohibited,bicycle=no,tunnel,,,,no,no,,,,,,yes,,-1,False
live,osm-way-23422430-forward,23422430,forward,51,3420202494,13256795094,track,review,highway=track carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-23422430-reverse,23422430,reverse,51,13256795094,3420202494,track,review,highway=track carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-24385206-forward,24385206,forward,5,61759809,27294173,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False
live,osm-way-24385206-reverse,24385206,reverse,5,27294173,61759809,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False
live,osm-way-28417004-forward,28417004,forward,25,312162310,2604605511,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,,,,,,,0,True
live,osm-way-28417004-reverse,28417004,reverse,25,2604605511,312162310,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,,,,,,,0,False
live,osm-way-28417005-forward,28417005,forward,2,312162554,312162561,service,admissible,highway=service cyclable by default,normal,yes,,,,,,paved,,,,,,,False
live,osm-way-28417065-forward,28417065,forward,6,254500252,312163592,secondary,admissible,highway=secondary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-28417066-forward,28417066,forward,2,312163131,254500252,secondary,admissible,highway=secondary cyclable by default,normal,,,roundabout,,,,asphalt,,,,,,,False
live,osm-way-28429105-forward,28429105,forward,5,312353228,312353141,tertiary,admissible,highway=tertiary cyclable by default,normal,,,roundabout,,,,asphalt,,,,,,,False
live,osm-way-28429107-forward,28429107,forward,24,312353237,1342094390,residential,admissible,highway=residential cyclable by default,normal,yes,,,,,,asphalt,,,,,,,True
live,osm-way-28437432-forward,28437432,forward,12,251671044,312438195,secondary,admissible,highway=secondary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-28437433-forward,28437433,forward,41,1217718917,518445642,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,True
live,osm-way-28437433-reverse,28437433,reverse,41,518445642,1217718917,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28437435-forward,28437435,forward,6,312348670,13326635869,secondary,admissible,highway=secondary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-28437486-forward,28437486,forward,11,9920528636,312439434,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28437486-reverse,28437486,reverse,11,312439434,9920528636,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28437487-forward,28437487,forward,4,312439479,312439471,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28437487-reverse,28437487,reverse,4,312439471,312439479,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28437488-forward,28437488,forward,20,312439482,312439511,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28437488-reverse,28437488,reverse,20,312439511,312439482,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28437489-forward,28437489,forward,9,312439528,312439552,service,admissible,highway=service cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28437489-reverse,28437489,reverse,9,312439552,312439528,service,admissible,highway=service cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28440723-forward,28440723,forward,10,312476519,312476503,tertiary,admissible,highway=tertiary cyclable by default,normal,,,roundabout,,,,asphalt,,,,,,,False
live,osm-way-28440725-forward,28440725,forward,3,312353159,312476532,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28440725-reverse,28440725,reverse,3,312476532,312353159,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28440727-forward,28440727,forward,7,312476519,312476549,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28440727-reverse,28440727,reverse,7,312476549,312476519,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28452049-forward,28452049,forward,6,364083893,9580296750,secondary,admissible,highway=secondary cyclable by default,normal,,,roundabout,,,,asphalt,,,,,,,False
live,osm-way-28452050-forward,28452050,forward,10,8419912486,312163146,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-28452050-reverse,28452050,reverse,10,312163146,8419912486,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-28452292-forward,28452292,forward,16,312163596,312586403,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28452292-reverse,28452292,reverse,16,312586403,312163596,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28452293-forward,28452293,forward,21,312586403,312586425,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28452293-reverse,28452293,reverse,21,312586425,312586403,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28452294-forward,28452294,forward,3,340039361,1342119067,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28452294-reverse,28452294,reverse,3,1342119067,340039361,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28452295-forward,28452295,forward,22,340039361,2424670056,residential,admissible,highway=residential cyclable by default,normal,,,,,,destination,asphalt,,,,,,,False
live,osm-way-28452295-reverse,28452295,reverse,22,2424670056,340039361,residential,admissible,highway=residential cyclable by default,normal,,,,,,destination,asphalt,,,,,,,False
live,osm-way-28476164-forward,28476164,forward,9,340047944,312823942,tertiary,admissible,highway=tertiary cyclable by default,normal,,,roundabout,,,,asphalt,,,,,,,False
live,osm-way-28476165-forward,28476165,forward,4,340035221,340035222,tertiary,admissible,highway=tertiary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-28476167-forward,28476167,forward,40,312610322,312824025,residential,admissible,highway=residential cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-28476168-forward,28476168,forward,18,312823954,312824025,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28476168-reverse,28476168,reverse,18,312824025,312823954,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28476169-forward,28476169,forward,30,312823962,312583640,residential,admissible,highway=residential cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-28476170-forward,28476170,forward,11,8419912484,340035215,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28476170-reverse,28476170,reverse,11,340035215,8419912484,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28477411-forward,28477411,forward,25,312840921,312840941,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28477411-reverse,28477411,reverse,25,312840941,312840921,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28477412-forward,28477412,forward,8,312840898,7266313827,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28477412-reverse,28477412,reverse,8,7266313827,312840898,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28477413-forward,28477413,forward,12,312840898,251671578,primary,admissible,highway=primary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-28477536-forward,28477536,forward,21,27292266,1458461848,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,True
live,osm-way-28477536-reverse,28477536,reverse,21,1458461848,27292266,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28477537-forward,28477537,forward,5,312842058,312842060,service,admissible,highway=service cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-28477537-reverse,28477537,reverse,5,312842060,312842058,service,admissible,highway=service cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-29699366-forward,29699366,forward,5,2423442474,2712785796,unclassified,admissible,highway=unclassified cyclable by default,normal,yes,,,,,,,,,,,,,False
live,osm-way-29720333-forward,29720333,forward,201,2387423231,853408611,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-29720333-reverse,29720333,reverse,201,853408611,2387423231,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-30483374-forward,30483374,forward,2,336367995,336367992,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False
live,osm-way-30483374-reverse,30483374,reverse,2,336367992,336367995,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False
live,osm-way-30483377-forward,30483377,forward,137,814807327,2450119249,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-30483377-reverse,30483377,reverse,137,2450119249,814807327,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-30483401-forward,30483401,forward,11,336368343,615431804,track,review,highway=track carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-30483401-reverse,30483401,reverse,11,615431804,336368343,track,review,highway=track carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-30749423-forward,30749423,forward,7,312586469,340070642,residential,admissible,highway=residential cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-30749434-forward,30749434,forward,11,340070616,340070613,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-30749434-reverse,30749434,reverse,11,340070613,340070616,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
