label,attempt,outcome,method,url,status,redirected,final_url,content_type,response_bytes,response_sha256,elapsed_s
ign-service-root,1,ok,GET,https://data.geopf.fr/altimetrie/,200,False,https://data.geopf.fr/altimetrie/,application/json,70,0651272f905de5f256ba7b121b908a816844a2ef9ca8cd089f239b73b5c5a27c,0.25
ign-resource-index,1,ok,GET,https://data.geopf.fr/altimetrie/resources,200,False,https://data.geopf.fr/altimetrie/resources,application/json,3249,402454ae5fe1d457e0bba8e7d80bc64f50d05765c10c9c0b23fb7afef571c23d,0.25
ign-resource-primary,1,ok,GET,https://data.geopf.fr/altimetrie/resources/ign_rge_alti_par_territoires,200,False,https://data.geopf.fr/altimetrie/resources/ign_rge_alti_par_territoires,application/json,62976,b514f703660a8a8df43340f01dfdf376c163a457cbc7d9beb63886430a5fe571,0.235
ign-resource-control,1,ok,GET,https://data.geopf.fr/altimetrie/resources/ign_rge_alti_wld,200,False,https://data.geopf.fr/altimetrie/resources/ign_rge_alti_wld,application/json,913,31f98361f093bd0a227e8f51cb381761bd5aa92b27f13a346662d0bb5f234907,0.187
overpass-status,1,ok,GET,https://overpass-api.de/api/status,200,False,https://overpass-api.de/api/status,text/plain; charset=utf-8,210,9f28fb8e16090a32bc9690b10703fa9d6915b209a7b120601aef735f22708f3e,0.313
overpass-interpreter,1,transient,POST,https://overpass-api.de/api/interpreter,504,False,https://overpass-api.de/api/interpreter,text/html; charset=utf-8,695,9e8d149c02b9ab7719f9e6cfdf696730c39abead6f27e39eb13793b7d2adbb82,7.75
overpass-interpreter,2,transient,POST,https://overpass-api.de/api/interpreter,504,False,https://overpass-api.de/api/interpreter,text/html; charset=utf-8,695,9e8d149c02b9ab7719f9e6cfdf696730c39abead6f27e39eb13793b7d2adbb82,8.578
overpass-interpreter,3,ok,POST,https://overpass-api.de/api/interpreter,200,False,https://overpass-api.de/api/interpreter,application/json,7631277,6315ac69f15245324487448a396e8f780e16c09740afda1bb8b9a9de85bdcbcc,4.75
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0590081%7C6.0589830%7C6.0589580%7C6.0589329%7C6.0589079%7C6.0588828%7C6.0588578%7C6.0588329%7C6.0588084%7C6.0587840%7C6.0587595%7C6.0587351%7C6.0587106%7C6.0586862%7C6.0586617%7C6.0586373%7C6.0586128%7C6.0585901%7C6.058567...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0590081%7C6.0589830%7C6.0589580%7C6.0589329%7C6.0589079%7C6.0588828%7C6.0588578%7C6.0588329%7C6.0588084%7C6.0587840%7C6.0587595%7C6.0587351%7C6.0587106%7C6.0586862%7C6.0586617%7C6.0586373%7C6.0586128%7C6.0585901%7C6.058567...,application/json,1797,864c2f481427f4d4b24a0ccb418440a4f4340eaea4aee0201838b8590b433024,0.359
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0586497%7C6.0586745%7C6.0586948%7C6.0587151%7C6.0587397%7C6.0587642%7C6.0587888%7C6.0588134%7C6.0588379%7C6.0588625%7C6.0588870%7C6.0589116%7C6.0589362%7C6.0589607%7C6.0589853%7C6.0590099%7C6.0590345%7C6.0590591%7C6.059083...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0586497%7C6.0586745%7C6.0586948%7C6.0587151%7C6.0587397%7C6.0587642%7C6.0587888%7C6.0588134%7C6.0588379%7C6.0588625%7C6.0588870%7C6.0589116%7C6.0589362%7C6.0589607%7C6.0589853%7C6.0590099%7C6.0590345%7C6.0590591%7C6.059083...,application/json,418,505fde9032838b31797d14ae324215d357d1c04771d5573bb69f9313d9a95b72,0.282
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0590081%7C6.0589454%7C6.0588828%7C6.0588329%7C6.0587779%7C6.0587228%7C6.0586678%7C6.0586128%7C6.0585674%7C6.0585221%7C6.0584767%7C6.0584322%7C6.0583877%7C6.0583432%7C6.0582987%7C6.0582598%7C6.0582208%7C6.0581819%7C6.058141...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0590081%7C6.0589454%7C6.0588828%7C6.0588329%7C6.0587779%7C6.0587228%7C6.0586678%7C6.0586128%7C6.0585674%7C6.0585221%7C6.0584767%7C6.0584322%7C6.0583877%7C6.0583432%7C6.0582987%7C6.0582598%7C6.0582208%7C6.0581819%7C6.058141...,application/json,999,48e9fab7d86925e05ed51062b3b9a8d522b7060bbb82b473d5d3c0965c3b4193,0.625
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0590081%7C6.0588828%7C6.0588329%7C6.0587228%7C6.0586128%7C6.0585447%7C6.0584767%7C6.0583877%7C6.0582987%7C6.0582403%7C6.0581819%7C6.0581208%7C6.0580598%7C6.0579988%7C6.0579379%7C6.0578737%7C6.0578223%7C6.0577708%7C6.057719...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0590081%7C6.0588828%7C6.0588329%7C6.0587228%7C6.0586128%7C6.0585447%7C6.0584767%7C6.0583877%7C6.0582987%7C6.0582403%7C6.0581819%7C6.0581208%7C6.0580598%7C6.0579988%7C6.0579379%7C6.0578737%7C6.0578223%7C6.0577708%7C6.057719...,application/json,607,1648998e13bf48844436032146643d27973165c9dbaab22d654fdd4c680e5f97,0.313
