source,retrieved_at,osm_way_id,edge_id,requested_spacing_m,realised_mean_spacing_m,variant,conditioning_window_m,simulated,not_simulated_reason,travelled_length_3d_m,net_dz_m,elapsed_time_s,moving_time_s,stationary_time_s,first_below_threshold_time_s,first_zero_speed_time_s,qualified_stop_time_s,travelled_distance_m,final_speed_m_s,completed_route,stop_reason
live,2026-08-07T07:21:53+00:00,28437433,osm-way-28437433-forward,2.0,1.862,raw,0.0,True,,456.519,-32.19,41.570616,41.570616,0.0,,,,456.519,11.190577,True,route_end
live,2026-08-07T07:21:53+00:00,28437433,osm-way-28437433-forward,2.0,1.862,conditioned,25.0,True,,455.809,-31.074,42.700621,42.700621,0.0,,,,455.809,10.733046,True,route_end
live,2026-08-07T07:21:53+00:00,28437433,osm-way-28437433-forward,5.0,4.168,raw,0.0,True,,456.126,-32.19,41.504571,41.504571,0.0,,,,456.126,11.199453,True,route_end
live,2026-08-07T07:21:53+00:00,28437433,osm-way-28437433-forward,5.0,4.168,conditioned,25.0,True,,455.917,-31.177,42.450351,42.450351,0.0,,,,455.917,10.732755,True,route_end
live,2026-08-07T07:21:53+00:00,28437433,osm-way-28437433-forward,10.0,6.989,raw,0.0,True,,456.056,-32.19,41.480641,41.480641,0.0,,,,456.056,11.207813,True,route_end
live,2026-08-07T07:21:53+00:00,28437433,osm-way-28437433-forward,10.0,6.989,conditioned,25.0,True,,455.899,-31.115,42.496837,42.496837,0.0,,,,455.899,10.687872,True,route_end
live,2026-08-07T07:21:53+00:00,28437433,osm-way-28437433-forward,25.0,10.095,raw,0.0,True,,456.044,-32.19,41.472973,41.472973,0.0,,,,456.044,11.215475,True,route_end
live,2026-08-07T07:21:53+00:00,28437433,osm-way-28437433-forward,25.0,10.095,conditioned,25.0,True,,456.031,-31.115,42.50237,42.50237,0.0,,,,456.031,10.652133,True,route_end
live,2026-08-07T07:21:53+00:00,28477536,osm-way-28477536-forward,2.0,1.913,raw,0.0,True,,495.653,-1.33,89.214106,89.214106,0.0,87.214106,,89.214106,245.778,0.07631,False,speed_threshold
live,2026-08-07T07:21:53+00:00,28477536,osm-way-28477536-forward,2.0,1.913,conditioned,25.0,True,,495.555,-1.086,101.547851,101.547851,0.0,99.547851,,101.547851,240.242,0.084159,False,speed_threshold
live,2026-08-07T07:21:53+00:00,28477536,osm-way-28477536-forward,5.0,4.588,raw,0.0,True,,495.603,-1.33,88.174643,88.174643,0.0,86.174643,,88.174643,244.783,0.019662,False,speed_threshold
live,2026-08-07T07:21:53+00:00,28477536,osm-way-28477536-forward,5.0,4.588,conditioned,25.0,True,,495.56,-1.193,96.567695,96.567695,0.0,94.567695,,96.567695,241.987,0.109954,False,speed_threshold
live,2026-08-07T07:21:53+00:00,28477536,osm-way-28477536-forward,10.0,8.399,raw,0.0,True,,495.591,-1.33,90.364367,90.364367,0.0,88.364367,,90.364367,246.227,0.090022,False,speed_threshold
live,2026-08-07T07:21:53+00:00,28477536,osm-way-28477536-forward,10.0,8.399,conditioned,25.0,True,,495.559,-1.155,97.16751,97.16751,0.0,95.16751,,97.16751,241.651,0.121287,False,speed_threshold
live,2026-08-07T07:21:53+00:00,28477536,osm-way-28477536-forward,25.0,16.518,raw,0.0,True,,495.585,-1.33,88.013192,88.013192,0.0,86.013192,,88.013192,245.186,0.03139,False,speed_threshold
live,2026-08-07T07:21:53+00:00,28477536,osm-way-28477536-forward,25.0,16.518,conditioned,25.0,True,,495.584,-1.33,88.031712,88.031712,0.0,86.031712,,88.031712,245.214,0.03139,False,speed_threshold
live,2026-08-07T07:21:53+00:00,28417004,osm-way-28417004-forward,2.0,1.88,raw,0.0,True,,347.286,18.76,17.854713,16.015387,1.839326,15.854713,16.015387,17.854713,57.434,0.0,False,speed_threshold
