source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T07:21:53+00:00,28429107,0.0000,6.0692077,45.0900154,941402.259,6448108.560,1807.07,1806.8760
live,2026-08-07T07:21:53+00:00,28429107,2.0878,6.0691855,45.0900051,941400.559,6448107.349,1806.98,1806.8760
live,2026-08-07T07:21:53+00:00,28429107,5.8846,6.0691451,45.0899864,941397.463,6448105.151,1806.86,1806.8250
live,2026-08-07T07:21:53+00:00,28429107,8.8859,6.0691103,45.0899753,941394.780,6448103.807,1806.80,1806.7629
live,2026-08-07T07:21:53+00:00,28429107,11.8871,6.0690756,45.0899641,941392.096,6448102.463,1806.67,1806.7629
live,2026-08-07T07:21:53+00:00,28429107,16.6228,6.0690187,45.0899502,941387.683,6448100.745,1806.57,1806.5850
live,2026-08-07T07:21:53+00:00,28429107,21.3584,6.0689618,45.0899363,941383.270,6448099.028,1806.39,1806.4550
live,2026-08-07T07:21:53+00:00,28429107,26.0941,6.0689049,45.0899224,941378.857,6448097.310,1806.22,1806.2400
live,2026-08-07T07:21:53+00:00,28429107,30.8298,6.0688480,45.0899085,941374.444,6448095.592,1806.08,1806.0740
live,2026-08-07T07:21:53+00:00,28429107,35.5654,6.0687911,45.0898945,941370.031,6448093.874,1805.94,1805.8940
live,2026-08-07T07:21:53+00:00,28429107,40.3011,6.0687342,45.0898806,941365.618,6448092.156,1805.74,1805.7040
live,2026-08-07T07:21:53+00:00,28429107,45.0367,6.0686773,45.0898667,941361.205,6448090.438,1805.49,1805.4760
live,2026-08-07T07:21:53+00:00,28429107,49.7724,6.0686204,45.0898528,941356.791,6448088.720,1805.27,1805.1960
live,2026-08-07T07:21:53+00:00,28429107,54.2454,6.0685658,45.0898416,941352.548,6448087.307,1804.94,1804.8600
live,2026-08-07T07:21:53+00:00,28429107,58.7185,6.0685112,45.0898303,941348.304,6448085.893,1804.54,1804.4980
live,2026-08-07T07:21:53+00:00,28429107,63.1915,6.0684566,45.0898191,941344.060,6448084.479,1804.06,1804.0880
live,2026-08-07T07:21:53+00:00,28429107,67.4986,6.0684019,45.0898175,941339.767,6448084.135,1803.68,1803.4867
live,2026-08-07T07:21:53+00:00,28429107,71.8057,6.0683472,45.0898159,941335.473,6448083.790,1803.22,1803.1083
live,2026-08-07T07:21:53+00:00,28429107,75.8991,6.0682956,45.0898203,941331.394,6448084.126,1802.87,1802.7467
live,2026-08-07T07:21:53+00:00,28429107,79.9925,6.0682439,45.0898248,941327.314,6448084.462,1802.55,1802.7467
live,2026-08-07T07:21:53+00:00,28429107,84.0859,6.0681923,45.0898293,941323.235,6448084.798,1802.27,1802.3750
live,2026-08-07T07:21:53+00:00,28429107,88.1793,6.0681406,45.0898337,941319.155,6448085.134,1801.89,1802.0067
live,2026-08-07T07:21:53+00:00,28429107,93.1350,6.0680783,45.0898400,941314.226,6448085.648,1801.45,1801.3500
live,2026-08-07T07:21:53+00:00,28429107,98.0907,6.0680159,45.0898464,941309.297,6448086.162,1801.01,1801.0633
live,2026-08-07T07:21:53+00:00,28429107,101.5357,6.0679730,45.0898525,941305.896,6448086.708,1800.86,1800.8267
live,2026-08-07T07:21:53+00:00,28429107,104.9807,6.0679300,45.0898586,941302.494,6448087.254,1800.62,1800.7771
live,2026-08-07T07:21:53+00:00,28429107,108.4256,6.0678871,45.0898647,941299.093,6448087.800,1800.55,1800.6586
live,2026-08-07T07:21:53+00:00,28429107,111.4296,6.0678499,45.0898709,941296.145,6448088.380,1800.47,1800.5957
live,2026-08-07T07:21:53+00:00,28429107,114.4336,6.0678128,45.0898772,941293.198,6448088.960,1800.48,1800.5517
live,2026-08-07T07:21:53+00:00,28429107,118.7207,6.0677633,45.0898933,941289.237,6448090.600,1800.62,1800.5250
live,2026-08-07T07:21:53+00:00,28429107,123.0078,6.0677138,45.0899095,941285.276,6448092.240,1800.57,1800.4650
live,2026-08-07T07:21:53+00:00,28429107,127.2948,6.0676643,45.0899256,941281.315,6448093.880,1800.46,1800.3040
live,2026-08-07T07:21:53+00:00,28429107,131.5819,6.0676148,45.0899418,941277.354,6448095.519,1800.19,1800.0060
live,2026-08-07T07:21:53+00:00,28429107,135.8689,6.0675653,45.0899579,941273.393,6448097.159,1799.68,1799.6100
live,2026-08-07T07:21:53+00:00,28429107,140.5151,6.0675095,45.0899715,941268.945,6448098.502,1799.13,1799.1340
live,2026-08-07T07:21:53+00:00,28429107,145.1613,6.0674536,45.0899852,941264.497,6448099.844,1798.59,1798.6240
live,2026-08-07T07:21:53+00:00,28429107,149.8076,6.0673978,45.0899988,941260.049,6448101.187,1798.08,1798.1440
live,2026-08-07T07:21:53+00:00,28429107,154.1004,6.0673444,45.0900066,941255.814,6448101.893,1797.64,1797.6400
live,2026-08-07T07:21:53+00:00,28429107,158.3932,6.0672909,45.0900145,941251.580,6448102.599,1797.28,1796.9583
live,2026-08-07T07:21:53+00:00,28429107,162.6860,6.0672375,45.0900223,941247.346,6448103.305,1796.61,1796.5350
live,2026-08-07T07:21:53+00:00,28429107,166.6852,6.0671872,45.0900275,941243.369,6448103.728,1796.32,1796.0983
live,2026-08-07T07:21:53+00:00,28429107,170.6844,6.0671369,45.0900327,941239.392,6448104.152,1795.82,1795.9014
live,2026-08-07T07:21:53+00:00,28429107,174.6835,6.0670866,45.0900379,941235.416,6448104.575,1795.54,1795.6717
live,2026-08-07T07:21:53+00:00,28429107,178.8845,6.0670343,45.0900454,941231.269,6448105.249,1795.02,1795.3033
live,2026-08-07T07:21:53+00:00,28429107,183.0855,6.0669819,45.0900529,941227.123,6448105.924,1794.72,1794.8917
live,2026-08-07T07:21:53+00:00,28429107,187.2865,6.0669296,45.0900604,941222.976,6448106.598,1794.40,1794.2980
live,2026-08-07T07:21:53+00:00,28429107,191.4875,6.0668773,45.0900680,941218.829,6448107.272,1793.85,1793.9240
live,2026-08-07T07:21:53+00:00,28429107,195.6885,6.0668249,45.0900755,941214.683,6448107.947,1793.50,1793.5040
live,2026-08-07T07:21:53+00:00,28429107,199.8894,6.0667726,45.0900830,941210.536,6448108.621,1793.15,1793.0700
live,2026-08-07T07:21:53+00:00,28429107,204.3800,6.0667174,45.0900932,941206.150,6448109.584,1792.62,1792.6320
live,2026-08-07T07:21:53+00:00,28429107,208.8706,6.0666621,45.0901034,941201.764,6448110.548,1792.23,1792.1780
live,2026-08-07T07:21:53+00:00,28429107,213.3612,6.0666069,45.0901136,941197.378,6448111.511,1791.66,1791.6720
live,2026-08-07T07:21:53+00:00,28429107,218.2702,6.0665471,45.0901263,941192.626,6448112.742,1791.23,1791.1420
live,2026-08-07T07:21:53+00:00,28429107,223.1791,6.0664874,45.0901391,941187.874,6448113.973,1790.62,1790.5540
