source,retrieved_at,osm_way_id,edge_id,highway,ref,name,surface_quality,requested_spacing_m,realised_mean_spacing_m,realised_min_spacing_m,realised_max_spacing_m,variant,conditioning_window_m,segment_count,horizontal_length_m,travelled_length_3d_m,net_dz_m,ascent_m,descent_m,min_grade_ratio,p05_grade_ratio,p25_grade_ratio,p50_grade_ratio,p75_grade_ratio,p95_grade_ratio,max_grade_ratio,contract_violation_count,elevation_break_count,zero_grade_segment_count,missing_elevation_count,hairpin_count
live,2026-08-07T19:50:49+00:00,28437433,osm-way-28437433-forward,secondary,D 211,Avenue des Fontaines,surface=asphalt,2.0,1.862,1.284,1.995,raw,0.0,244,454.268,456.519,-32.19,2.02,34.21,-0.284595,-0.207906,-0.113586,-0.066538,-0.025834,0.022665,0.174517,0,0,3,0,4
live,2026-08-07T19:50:49+00:00,28437433,osm-way-28437433-forward,secondary,D 211,Avenue des Fontaines,surface=asphalt,2.0,1.862,1.284,1.995,conditioned,25.0,244,454.268,455.809,-31.074,0.192,31.266,-0.251263,-0.144472,-0.099497,-0.063971,-0.032438,-3.4e-05,0.014964,0,0,0,0,4
live,2026-08-07T19:50:49+00:00,28437433,osm-way-28437433-forward,secondary,D 211,Avenue des Fontaines,surface=asphalt,5.0,4.168,1.656,4.935,raw,0.0,109,454.268,456.126,-32.19,0.61,32.8,-0.253079,-0.171262,-0.108017,-0.067035,-0.029747,-0.000891,0.095439,0,0,1,0,4
live,2026-08-07T19:50:49+00:00,28437433,osm-way-28437433-forward,secondary,D 211,Avenue des Fontaines,surface=asphalt,5.0,4.168,1.656,4.935,conditioned,25.0,109,454.268,455.917,-31.177,0.239,31.416,-0.250392,-0.157524,-0.105762,-0.062165,-0.031688,-0.000873,0.026182,0,0,2,0,4
live,2026-08-07T19:50:49+00:00,28437433,osm-way-28437433-forward,secondary,D 211,Avenue des Fontaines,surface=asphalt,10.0,6.989,1.656,9.87,raw,0.0,65,454.268,456.056,-32.19,0.54,32.73,-0.253079,-0.208315,-0.108704,-0.085269,-0.030984,1.9e-05,0.05999,0,0,0,0,4
live,2026-08-07T19:50:49+00:00,28437433,osm-way-28437433-forward,secondary,D 211,Avenue des Fontaines,surface=asphalt,10.0,6.989,1.656,9.87,conditioned,25.0,65,454.268,455.899,-31.115,0.188,31.303,-0.26921,-0.169613,-0.120425,-0.054875,-0.031808,0.0,0.017826,0,0,4,0,4
live,2026-08-07T19:50:49+00:00,28437433,osm-way-28437433-forward,secondary,D 211,Avenue des Fontaines,surface=asphalt,25.0,10.095,1.656,24.193,raw,0.0,45,454.268,456.044,-32.19,0.49,32.68,-0.253079,-0.224928,-0.113614,-0.087167,-0.030984,-0.001495,0.05999,0,0,0,0,4
live,2026-08-07T19:50:49+00:00,28437433,osm-way-28437433-forward,secondary,D 211,Avenue des Fontaines,surface=asphalt,25.0,10.095,1.656,24.193,conditioned,25.0,45,454.268,456.031,-31.115,0.257,31.372,-0.26921,-0.171787,-0.121365,-0.054185,-0.027623,0.0,0.018771,0,0,8,0,4
live,2026-08-07T19:50:49+00:00,28477536,osm-way-28477536-forward,tertiary,,Rue de Belledonne,surface=asphalt,2.0,1.913,1.524,1.99,raw,0.0,259,495.532,495.653,-1.33,2.88,4.21,-0.118719,-0.033006,-0.010334,0.0,0.01005,0.025659,0.080552,0,0,45,0,0
live,2026-08-07T19:50:49+00:00,28477536,osm-way-28477536-forward,tertiary,,Rue de Belledonne,surface=asphalt,2.0,1.913,1.524,1.99,conditioned,25.0,259,495.532,495.555,-1.086,0.882,1.968,-0.049632,-0.016517,-0.004256,-0.000394,0.003579,0.006569,0.016578,0,0,10,0,0
live,2026-08-07T19:50:49+00:00,28477536,osm-way-28477536-forward,tertiary,,Rue de Belledonne,surface=asphalt,5.0,4.588,2.565,4.966,raw,0.0,108,495.532,495.603,-1.33,1.78,3.11,-0.095123,-0.023023,-0.008341,0.0,0.006149,0.01579,0.038838,0,0,16,0,0
live,2026-08-07T19:50:49+00:00,28477536,osm-way-28477536-forward,tertiary,,Rue de Belledonne,surface=asphalt,5.0,4.588,2.565,4.966,conditioned,25.0,108,495.532,495.56,-1.193,0.893,2.087,-0.057958,-0.015772,-0.00363,-0.000601,0.003049,0.006864,0.016274,0,0,4,0,0
live,2026-08-07T19:50:49+00:00,28477536,osm-way-28477536-forward,tertiary,,Rue de Belledonne,surface=asphalt,10.0,8.399,5.13,9.932,raw,0.0,59,495.532,495.591,-1.33,1.57,2.9,-0.073738,-0.019311,-0.00719,0.001134,0.005033,0.015007,0.02733,0,0,3,0,0
live,2026-08-07T19:50:49+00:00,28477536,osm-way-28477536-forward,tertiary,,Rue de Belledonne,surface=asphalt,10.0,8.399,5.13,9.932,conditioned,25.0,59,495.532,495.559,-1.155,0.938,2.093,-0.052027,-0.016438,-0.003812,-0.000693,0.003281,0.006962,0.017105,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,28477536,osm-way-28477536-forward,tertiary,,Rue de Belledonne,surface=asphalt,25.0,16.518,5.13,24.284,raw,0.0,30,495.532,495.585,-1.33,1.23,2.56,-0.064398,-0.014287,-0.004044,-0.000601,0.004602,0.011022,0.014384,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,28477536,osm-way-28477536-forward,tertiary,,Rue de Belledonne,surface=asphalt,25.0,16.518,5.13,24.284,conditioned,25.0,30,495.532,495.584,-1.33,1.15,2.48,-0.064398,-0.012272,-0.003524,0.0,0.003477,0.010718,0.014384,0,0,5,0,0
live,2026-08-07T19:50:49+00:00,28417004,osm-way-28417004-forward,unclassified,,Route de l'Altiport,unspecified,2.0,1.88,1.634,1.989,raw,0.0,184,346.006,347.286,18.76,21.89,3.13,-0.092031,-0.057093,0.005754,0.06067,0.095008,0.170025,0.216189,0,0,6,0,0
live,2026-08-07T19:50:49+00:00,28417004,osm-way-28417004-forward,unclassified,,Route de l'Altiport,unspecified,2.0,1.88,1.634,1.989,conditioned,25.0,184,346.006,346.769,17.987,19.123,1.136,-0.061059,-0.028827,0.030159,0.066392,0.081185,0.108287,0.146852,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,28417004,osm-way-28417004-forward,unclassified,,Route de l'Altiport,unspecified,5.0,4.22,2.608,4.896,raw,0.0,82,346.006,346.964,18.76,20.34,1.58,-0.095865,-0.053257,0.013218,0.061564,0.091196,0.120506,0.180996,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,28417004,osm-way-28417004-forward,unclassified,,Route de l'Altiport,unspecified,5.0,4.22,2.608,4.896,conditioned,25.0,82,346.006,346.794,17.987,19.139,1.151,-0.056861,-0.032444,0.019953,0.06233,0.085097,0.111562,0.122228,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,28417004,osm-way-28417004-forward,unclassified,,Route de l'Altiport,unspecified,10.0,7.864,5.105,9.792,raw,0.0,44,346.006,346.894,18.76,20.15,1.39,-0.080527,-0.052017,0.016079,0.058318,0.088996,0.107639,0.157533,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,28417004,osm-way-28417004-forward,unclassified,,Route de l'Altiport,unspecified,10.0,7.864,5.105,9.792,conditioned,25.0,44,346.006,346.786,18.255,19.318,1.063,-0.064232,-0.02618,0.029443,0.05807,0.079145,0.10666,0.119049,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,28417004,osm-way-28417004-forward,unclassified,,Route de l'Altiport,unspecified,25.0,12.357,5.216,23.846,raw,0.0,28,346.006,346.869,18.76,20.15,1.39,-0.080527,-0.05893,0.022366,0.068223,0.082754,0.105633,0.134071,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,28417004,osm-way-28417004-forward,unclassified,,Route de l'Altiport,unspecified,25.0,12.357,5.216,23.846,conditioned,25.0,28,346.006,346.873,18.255,19.318,1.063,-0.064232,-0.031348,0.002834,0.06385,0.080839,0.113261,0.14664,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,28429107,osm-way-28429107-forward,residential,,Chemin de la Chapelle,surface=asphalt,2.0,1.847,1.044,2.0,raw,0.0,158,291.839,293.746,-27.1,0.3,27.4,-0.301022,-0.219013,-0.139253,-0.085567,-0.040121,-0.009724,0.04126,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,28429107,osm-way-28429107-forward,residential,,Chemin de la Chapelle,surface=asphalt,2.0,1.847,1.044,2.0,conditioned,25.0,158,291.839,293.257,-25.464,0.0,25.464,-0.308558,-0.153971,-0.112236,-0.095442,-0.046984,-0.013748,0.0,0,0,4,0,0
live,2026-08-07T19:50:49+00:00,28429107,osm-way-28429107-forward,residential,,Chemin de la Chapelle,surface=asphalt,5.0,4.23,2.088,4.956,raw,0.0,69,291.839,293.5,-27.1,0.15,27.25,-0.27938,-0.157766,-0.125026,-0.087595,-0.046456,-0.020123,0.032656,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,28429107,osm-way-28429107-forward,residential,,Chemin de la Chapelle,surface=asphalt,5.0,4.23,2.088,4.956,conditioned,25.0,69,291.839,293.354,-25.946,0.0,25.946,-0.264866,-0.162205,-0.119781,-0.091363,-0.040121,-0.002488,0.0,0,0,4,0,0
live,2026-08-07T19:50:49+00:00,28429107,osm-way-28429107-forward,residential,,Chemin de la Chapelle,surface=asphalt,10.0,7.118,2.088,9.911,raw,0.0,41,291.839,293.454,-27.1,0.17,27.27,-0.232023,-0.216421,-0.123221,-0.097514,-0.049624,-0.029563,0.023793,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,28429107,osm-way-28429107-forward,residential,,Chemin de la Chapelle,surface=asphalt,10.0,7.118,2.088,9.911,conditioned,25.0,41,291.839,293.352,-25.882,0.0,25.882,-0.255728,-0.170698,-0.111441,-0.095216,-0.043711,0.0,0.0,0,0,4,0,0
live,2026-08-07T19:50:49+00:00,28429107,osm-way-28429107-forward,residential,,Chemin de la Chapelle,surface=asphalt,25.0,11.225,2.088,21.435,raw,0.0,26,291.839,293.418,-27.1,0.0,27.1,-0.232023,-0.218064,-0.128082,-0.093984,-0.043458,-0.031261,-0.011651,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,28429107,osm-way-28429107-forward,residential,,Chemin de la Chapelle,surface=asphalt,25.0,11.225,2.088,21.435,conditioned,25.0,26,291.839,293.566,-25.882,0.0,25.882,-0.270912,-0.153878,-0.119811,-0.072405,-0.028165,0.0,0.0,0,0,6,0,0
live,2026-08-07T19:50:49+00:00,49210503,osm-way-49210503-forward,primary,D 1091,,surface=asphalt,2.0,1.908,1.771,1.998,raw,0.0,167,318.608,326.861,-3.13,9.22,12.35,-3.014565,-0.051422,-0.031823,-0.020022,-0.005006,0.017019,1.920694,5,1,17,0,0
live,2026-08-07T19:50:49+00:00,49210503,osm-way-49210503-forward,primary,D 1091,,surface=asphalt,2.0,1.908,1.771,1.998,conditioned,25.0,167,318.608,318.99,-5.241,2.012,7.254,-0.277489,-0.035695,-0.031341,-0.02104,-0.006161,0.029992,0.227939,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,49210503,osm-way-49210503-forward,primary,D 1091,,surface=asphalt,5.0,4.552,3.792,4.988,raw,0.0,70,318.608,325.38,-3.13,9.12,12.25,-1.271561,-0.039765,-0.029934,-0.019914,-0.012372,0.00949,1.24691,3,2,5,0,0
live,2026-08-07T19:50:49+00:00,49210503,osm-way-49210503-forward,primary,D 1091,,surface=asphalt,5.0,4.552,3.792,4.988,conditioned,25.0,70,318.608,319.032,-5.053,2.167,7.22,-0.270976,-0.036204,-0.031325,-0.020016,-0.009801,0.016665,0.236646,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,49210503,osm-way-49210503-forward,primary,D 1091,,surface=asphalt,10.0,8.384,6.398,9.818,raw,0.0,38,318.608,319.238,-3.13,3.05,6.18,-0.040761,-0.03774,-0.028077,-0.019202,-0.011527,0.004783,0.388937,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,49210503,osm-way-49210503-forward,primary,D 1091,,surface=asphalt,10.0,8.384,6.398,9.818,conditioned,25.0,38,318.608,318.758,-4.595,1.478,6.073,-0.036144,-0.034534,-0.0311,-0.020016,-0.0109,0.01277,0.121181,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,49210503,osm-way-49210503-forward,primary,D 1091,,surface=asphalt,25.0,18.742,12.796,23.973,raw,0.0,17,318.608,318.95,-3.13,2.95,6.08,-0.034423,-0.034218,-0.029375,-0.020257,-0.010011,0.041762,0.187118,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,49210503,osm-way-49210503-forward,primary,D 1091,,surface=asphalt,25.0,18.742,12.796,23.973,conditioned,25.0,17,318.608,318.95,-3.13,2.95,6.08,-0.034423,-0.034218,-0.029375,-0.020257,-0.010011,0.041762,0.187118,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,36939194,osm-way-36939194-forward,service,,,unspecified,2.0,1.943,1.611,1.999,raw,0.0,281,545.982,547.751,0.76,16.65,15.89,-0.180076,-0.149205,-0.03538,-0.005054,0.046612,0.125355,0.35733,0,0,15,0,0
live,2026-08-07T19:50:49+00:00,36939194,osm-way-36939194-forward,service,,,unspecified,2.0,1.943,1.611,1.999,conditioned,25.0,281,545.982,546.197,-1.076,5.858,6.934,-0.064511,-0.049076,-0.022591,-0.00205,0.018604,0.044712,0.098475,0,0,1,0,0
live,2026-08-07T19:50:49+00:00,36939194,osm-way-36939194-forward,service,,,unspecified,5.0,4.588,2.729,4.915,raw,0.0,119,545.982,546.717,0.76,10.22,9.46,-0.105722,-0.074593,-0.0245,-0.002342,0.025083,0.08021,0.322513,0,0,4,0,0
live,2026-08-07T19:50:49+00:00,36939194,osm-way-36939194-forward,service,,,unspecified,5.0,4.588,2.729,4.915,conditioned,25.0,119,545.982,546.236,-0.611,6.441,7.052,-0.065591,-0.047553,-0.02391,0.0,0.020097,0.048731,0.09767,0,0,2,0,0
live,2026-08-07T19:50:49+00:00,36939194,osm-way-36939194-forward,service,,,unspecified,10.0,8.4,4.832,9.581,raw,0.0,65,545.982,546.586,0.76,9.27,8.51,-0.073192,-0.055314,-0.026425,-0.003329,0.030011,0.052854,0.280367,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,36939194,osm-way-36939194-forward,service,,,unspecified,10.0,8.4,4.832,9.581,conditioned,25.0,65,545.982,546.209,-0.78,6.053,6.832,-0.0608,-0.045252,-0.022983,-0.002614,0.018127,0.046229,0.076266,0,0,2,0,0
live,2026-08-07T19:50:49+00:00,36939194,osm-way-36939194-forward,service,,,unspecified,25.0,18.199,4.832,23.953,raw,0.0,30,545.982,546.517,0.76,8.6,7.84,-0.057757,-0.045607,-0.025714,0.002362,0.029212,0.119011,0.280367,0,0,0,0,0
live,2026-08-07T19:50:49+00:00,36939194,osm-way-36939194-forward,service,,,unspecified,25.0,18.199,4.832,23.953,conditioned,25.0,30,545.982,546.244,-0.54,6.793,7.333,-0.052629,-0.044911,-0.025714,0.000241,0.027173,0.058921,0.080788,0,0,2,0,0
live,2026-08-07T19:50:49+00:00,363222611,osm-way-363222611-forward,cycleway,DH5,Rock And Wood,surface=dirt,2.0,1.623,1.004,1.994,raw,0.0,384,623.111,633.462,-91.79,2.86,94.65,-0.53459,-0.330694,-0.218403,-0.140704,-0.080911,0.015941,0.310039,1,0,5,0,10
live,2026-08-07T19:50:49+00:00,363222611,osm-way-363222611-forward,cycleway,DH5,Rock And Wood,surface=dirt,2.0,1.623,1.004,1.994,conditioned,25.0,384,623.111,631.383,-90.517,0.0,90.517,-0.404679,-0.278682,-0.196203,-0.135542,-0.083734,-0.041915,0.0,0,0,10,0,10
live,2026-08-07T19:50:49+00:00,363222611,osm-way-363222611-forward,cycleway,DH5,Rock And Wood,surface=dirt,5.0,3.116,1.13,4.929,raw,0.0,200,623.111,632.757,-91.79,2.01,93.8,-0.430617,-0.313441,-0.213279,-0.147244,-0.07944,0.003638,0.310039,0,0,1,0,10
live,2026-08-07T19:50:49+00:00,363222611,osm-way-363222611-forward,cycleway,DH5,Rock And Wood,surface=dirt,5.0,3.116,1.13,4.929,conditioned,25.0,200,623.111,632.008,-90.542,0.0,90.542,-0.574428,-0.306748,-0.195965,-0.132582,-0.080609,0.0,0.0,1,0,17,0,10
live,2026-08-07T19:50:49+00:00,363222611,osm-way-363222611-forward,cycleway,DH5,Rock And Wood,surface=dirt,10.0,4.073,1.13,9.857,raw,0.0,153,623.111,632.649,-91.79,2.0,93.79,-0.430617,-0.310437,-0.214953,-0.151272,-0.084465,0.004782,0.310039,0,0,1,0,10
live,2026-08-07T19:50:49+00:00,363222611,osm-way-363222611-forward,cycleway,DH5,Rock And Wood,surface=dirt,10.0,4.073,1.13,9.857,conditioned,25.0,153,623.111,632.356,-90.704,0.0,90.704,-0.646265,-0.312584,-0.200464,-0.117606,-0.061849,0.0,0.0,1,0,22,0,10
live,2026-08-07T19:50:49+00:00,363222611,osm-way-363222611-forward,cycleway,DH5,Rock And Wood,surface=dirt,25.0,4.297,1.13,16.18,raw,0.0,145,623.111,632.635,-91.79,2.0,93.79,-0.430617,-0.312257,-0.220684,-0.151807,-0.082907,0.009564,0.310039,0,0,1,0,10
live,2026-08-07T19:50:49+00:00,363222611,osm-way-363222611-forward,cycleway,DH5,Rock And Wood,surface=dirt,25.0,4.297,1.13,16.18,conditioned,25.0,145,623.111,632.614,-90.697,0.024,90.721,-0.646265,-0.33332,-0.189775,-0.113689,-0.058543,0.0,0.016099,1,0,22,0,10
live,2026-08-07T19:50:49+00:00,708124926,osm-way-708124926-forward,cycleway,,Run DMC,surface=dirt,2.0,1.541,1.001,2.0,raw,0.0,1297,1999.114,2017.489,-206.56,9.67,216.23,-0.44834,-0.268584,-0.158711,-0.106147,-0.050591,0.039907,0.19631,0,0,27,0,81
live,2026-08-07T19:50:49+00:00,708124926,osm-way-708124926-forward,cycleway,,Run DMC,surface=dirt,2.0,1.541,1.001,2.0,conditioned,25.0,1297,1999.114,2011.874,-205.367,0.113,205.48,-0.285251,-0.186711,-0.134126,-0.100861,-0.071368,-0.028893,0.019269,0,0,29,0,81
live,2026-08-07T19:50:49+00:00,708124926,osm-way-708124926-forward,cycleway,,Run DMC,surface=dirt,5.0,2.8,1.06,4.935,raw,0.0,714,1999.114,2015.574,-206.56,4.59,211.15,-0.423655,-0.247602,-0.166948,-0.111101,-0.05924,0.009086,0.103429,0,0,5,0,81
live,2026-08-07T19:50:49+00:00,708124926,osm-way-708124926-forward,cycleway,,Run DMC,surface=dirt,5.0,2.8,1.06,4.935,conditioned,25.0,714,1999.114,2012.187,-205.513,0.131,205.644,-0.282201,-0.19449,-0.135611,-0.098386,-0.067868,0.0,0.023345,0,0,38,0,81
live,2026-08-07T19:50:49+00:00,708124926,osm-way-708124926-forward,cycleway,,Run DMC,surface=dirt,10.0,3.214,1.06,9.87,raw,0.0,622,1999.114,2015.404,-206.56,3.86,210.42,-0.423655,-0.256291,-0.172471,-0.118056,-0.066192,0.003046,0.05773,0,0,2,0,81
live,2026-08-07T19:50:49+00:00,708124926,osm-way-708124926-forward,cycleway,,Run DMC,surface=dirt,10.0,3.214,1.06,9.87,conditioned,25.0,622,1999.114,2012.921,-205.68,0.104,205.784,-0.32255,-0.200718,-0.137939,-0.093785,-0.060835,0.0,0.011846,0,0,73,0,81
live,2026-08-07T19:50:49+00:00,708124926,osm-way-708124926-forward,cycleway,,Run DMC,surface=dirt,25.0,3.332,1.06,20.505,raw,0.0,600,1999.114,2015.378,-206.56,3.66,210.22,-0.423655,-0.25892,-0.176488,-0.11943,-0.068669,0.002936,0.05773,0,0,2,0,81
live,2026-08-07T19:50:49+00:00,708124926,osm-way-708124926-forward,cycleway,,Run DMC,surface=dirt,25.0,3.332,1.06,20.505,conditioned,25.0,600,1999.114,2013.113,-206.56,0.002,206.562,-0.293324,-0.20281,-0.136838,-0.09224,-0.058599,0.0,0.000766,0,0,76,0,81
