osm_way_id,osm_structure,bd_topo_kind_searched,nearest_bd_topo_match_m,agreement,osm_url
23258945,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/23258945
23370662,tunnel,tunnel,76.7,osm_only,https://www.openstreetmap.org/way/23370662
24385206,tunnel,tunnel,18.6,agree,https://www.openstreetmap.org/way/24385206
30483374,bridge,bridge,14.1,agree,https://www.openstreetmap.org/way/30483374
36939189,bridge,bridge,8.2,agree,https://www.openstreetmap.org/way/36939189
49210502,bridge,bridge,3.6,agree,https://www.openstreetmap.org/way/49210502
54396765,tunnel,tunnel,51.6,osm_only,https://www.openstreetmap.org/way/54396765
61497927,tunnel,tunnel,44.1,osm_only,https://www.openstreetmap.org/way/61497927
61497929,tunnel,tunnel,2.4,agree,https://www.openstreetmap.org/way/61497929
71809489,bridge,bridge,2.1,agree,https://www.openstreetmap.org/way/71809489
93975010,tunnel,tunnel,7.8,agree,https://www.openstreetmap.org/way/93975010
93995461,bridge,bridge,41.1,osm_only,https://www.openstreetmap.org/way/93995461
96286816,tunnel,tunnel,6.3,agree,https://www.openstreetmap.org/way/96286816
96291294,bridge,bridge,48.9,osm_only,https://www.openstreetmap.org/way/96291294
98613479,bridge,bridge,5.2,agree,https://www.openstreetmap.org/way/98613479
105446060,tunnel,tunnel,6.8,agree,https://www.openstreetmap.org/way/105446060
105839525,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/105839525
105839529,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/105839529
105839531,bridge,bridge,23.9,agree,https://www.openstreetmap.org/way/105839531
105839533,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/105839533
107161941,tunnel,tunnel,91.2,osm_only,https://www.openstreetmap.org/way/107161941
107161943,tunnel,tunnel,11.1,agree,https://www.openstreetmap.org/way/107161943
107161944,tunnel,tunnel,17.9,agree,https://www.openstreetmap.org/way/107161944
119453059,bridge,bridge,,osm_only,https://www.openstreetmap.org/way/119453059
119453636,bridge,bridge,1.4,agree,https://www.openstreetmap.org/way/119453636
119586229,bridge,bridge,,osm_only,https://www.openstreetmap.org/way/119586229
119611336,bridge,bridge,1.1,agree,https://www.openstreetmap.org/way/119611336
119611341,bridge,bridge,12.9,agree,https://www.openstreetmap.org/way/119611341
119611351,bridge,bridge,2.1,agree,https://www.openstreetmap.org/way/119611351
119744553,bridge,bridge,3.2,agree,https://www.openstreetmap.org/way/119744553
122000404,bridge,bridge,1.2,agree,https://www.openstreetmap.org/way/122000404
122019455,stacked,tunnel,23.4,agree,https://www.openstreetmap.org/way/122019455
132605196,bridge,bridge,8.0,agree,https://www.openstreetmap.org/way/132605196
132668859,bridge,bridge,6.4,agree,https://www.openstreetmap.org/way/132668859
132668862,bridge,bridge,78.1,osm_only,https://www.openstreetmap.org/way/132668862
132668877,bridge,bridge,88.8,osm_only,https://www.openstreetmap.org/way/132668877
132668878,bridge,bridge,60.2,osm_only,https://www.openstreetmap.org/way/132668878
132675328,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/132675328
132676259,bridge,bridge,6.0,agree,https://www.openstreetmap.org/way/132676259
132695613,bridge,bridge,23.2,agree,https://www.openstreetmap.org/way/132695613
132695618,bridge,bridge,1.2,agree,https://www.openstreetmap.org/way/132695618
132699869,bridge,bridge,,osm_only,https://www.openstreetmap.org/way/132699869
133322450,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/133322450
141773275,bridge,bridge,,osm_only,https://www.openstreetmap.org/way/141773275
165523293,bridge,bridge,3.3,agree,https://www.openstreetmap.org/way/165523293
165523302,bridge,bridge,19.5,agree,https://www.openstreetmap.org/way/165523302
171335071,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/171335071
171335072,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/171335072
171335075,tunnel,tunnel,,osm_only,https://www.openstreetmap.org/way/171335075
171347935,bridge,bridge,57.1,osm_only,https://www.openstreetmap.org/way/171347935
181438140,bridge,bridge,14.6,agree,https://www.openstreetmap.org/way/181438140
181438141,bridge,bridge,26.7,agree,https://www.openstreetmap.org/way/181438141
184653572,bridge,bridge,16.7,agree,https://www.openstreetmap.org/way/184653572
186897657,bridge,bridge,3.7,agree,https://www.openstreetmap.org/way/186897657
187047092,bridge,bridge,,osm_only,https://www.openstreetmap.org/way/187047092
187047093,bridge,bridge,,osm_only,https://www.openstreetmap.org/way/187047093
187050875,tunnel,tunnel,6.9,agree,https://www.openstreetmap.org/way/187050875
187050891,tunnel,tunnel,17.0,agree,https://www.openstreetmap.org/way/187050891
187055319,stacked,tunnel,,osm_only,https://www.openstreetmap.org/way/187055319
187059678,tunnel,tunnel,42.1,osm_only,https://www.openstreetmap.org/way/187059678
187062885,bridge,bridge,10.2,agree,https://www.openstreetmap.org/way/187062885
187063075,bridge,bridge,5.3,agree,https://www.openstreetmap.org/way/187063075
187063076,bridge,bridge,3.8,agree,https://www.openstreetmap.org/way/187063076
206313879,bridge,bridge,10.3,agree,https://www.openstreetmap.org/way/206313879
206313886,bridge,bridge,6.2,agree,https://www.openstreetmap.org/way/206313886
206313890,bridge,bridge,2.9,agree,https://www.openstreetmap.org/way/206313890
206313891,stacked,tunnel,71.6,osm_only,https://www.openstreetmap.org/way/206313891
206313899,tunnel,tunnel,62.6,osm_only,https://www.openstreetmap.org/way/206313899
210456502,bridge,bridge,22.6,agree,https://www.openstreetmap.org/way/210456502
210456503,bridge,bridge,34.4,osm_only,https://www.openstreetmap.org/way/210456503
210456507,bridge,bridge,1.3,agree,https://www.openstreetmap.org/way/210456507
222303614,bridge,bridge,12.8,agree,https://www.openstreetmap.org/way/222303614
