osm_way_id,longitude,latitude,rge_alti_m,copernicus_glo30_m,difference_m
123189416,6.043689,45.019521,1534.85,1544.14,9.29
123189416,6.046918,45.0178,1443.72,1449.89,6.17
123189416,6.050255,45.019393,1371.35,1380.06,8.71
123189416,6.043999,45.025608,1275.96,1270.83,-5.13
123189416,6.046211,45.026014,1171.11,1196.85,25.74
123189416,6.048483,45.025667,1082.19,1121.64,39.45
123189416,6.042456,45.031822,984.16,1065.51,81.35
222916418,6.040857,45.119649,995.19,997.54,2.35
222916418,6.038169,45.116716,1068.06,1062.2,-5.86
222916418,6.035402,45.115402,1142.22,1139.58,-2.64
222916418,6.037924,45.114723,1205.14,1199.59,-5.55
222916418,6.04301,45.112543,1267.53,1264.51,-3.02
222916418,6.03691,45.112128,1336.03,1347.99,11.96
222916418,6.039195,45.105152,1388.09,1400.05,11.96
846177345,6.187199,45.037975,1099.93,1100.57,0.64
846177345,6.178127,45.037829,1099.74,1094.81,-4.93
846177345,6.168593,45.039022,1040.93,1051.97,11.04
846177345,6.160124,45.039939,1038.63,1051.76,13.13
846177345,6.151465,45.039372,1051.56,1067.17,15.61
846177345,6.144973,45.04148,1057.65,1049.02,-8.63
232744090,6.163552,45.096178,1556.02,1563.81,7.79
232744090,6.164761,45.099337,1609.18,1611.37,2.19
232744090,6.161908,45.099705,1663.48,1670.58,7.1
232744090,6.159873,45.099973,1719.69,1724.72,5.03
232744090,6.154112,45.094443,1793.87,1801.68,7.81
232744090,6.154398,45.09732,1869.04,1883.1,14.06
232744090,6.149958,45.091834,1935.77,1951.28,15.51
232934767,6.03692,45.058163,722.8,721.91,-0.89
232934767,6.042723,45.053877,723.76,721.41,-2.35
232934767,6.048546,45.049619,724.92,723.26,-1.66
232934767,6.054863,45.045749,726.61,727.35,0.74
232934767,6.053846,45.039926,727.97,725.99,-1.98
232934767,6.052213,45.034098,730.9,729.13,-1.77
232934767,6.05056,45.028365,732.9,736.66,3.76
181435153,6.017869,45.084176,718.21,716.32,-1.89
181435153,6.018115,45.089619,717.09,716.19,-0.9
181435153,6.018785,45.095034,716.27,714.36,-1.91
181435153,6.020357,45.100366,715.73,711.93,-3.8
181435153,6.021021,45.105768,714.85,712.74,-2.11
181435153,6.019094,45.111001,713.82,714.54,0.72
181435153,6.014112,45.114972,713.59,713.45,-0.14
222916417,6.05361,45.139434,901.89,901.06,-0.83
222916417,6.056296,45.141553,943.71,936.64,-7.07
222916417,6.05738,45.141499,992.27,995.52,3.25
