osm_way_id,edge_id,name,horizontal_length_m,hairpin_count,method,segment_count,mean_spacing_m,net_dz_m,net_dz_error_m,ascent_m,ascent_inflation_ratio,travelled_length_m,max_abs_grade_ratio,implausible_segment_count,hairpin_max_abs_grade_ratio,simulable,elapsed_time_s,elapsed_time_fine_s,elapsed_time_coarse_s,time_step_spread_s,time_step_spread_ratio,stop_reason,stop_reason_stable
123189416,osm-123189416-0-forward,D 219,5997.2,327,raw_10m,600,9.91,-551.76,0.0,88.31,0.6807,6036.53,1.5622,32,1.5622,False,,,,,,,
123189416,osm-123189416-0-forward,D 219,5997.2,327,raw_25m,240,24.3,-551.76,0.0,41.78,0.3221,5885.39,0.8437,11,0.8437,False,,,,,,,
123189416,osm-123189416-0-forward,D 219,5997.2,327,adaptive_geometry,1075,5.58,-551.76,0.0,109.72,0.8458,6102.27,2.3944,89,2.3944,False,,,,,,,
123189416,osm-123189416-0-forward,D 219,5997.2,327,robust_median_local,600,9.91,-550.78,0.98,40.885,0.3152,6002.87,1.1105,26,1.1105,False,,,,,,,
123189416,osm-123189416-0-forward,D 219,5997.2,327,net_dz_constrained,600,9.91,-551.76,0.0,40.805,0.3145,6002.96,1.1103,26,1.1103,False,,,,,,,
222916418,osm-222916418-1-forward,D 44B,5295.6,116,raw_10m,530,9.97,394.38,0.0,429.03,0.974,5311.17,0.4102,17,0.4102,True,5.8575,5.8587,5.8559,0.0029,0.000487,speed_threshold,True
222916418,osm-222916418-1-forward,D 44B,5295.6,116,raw_25m,212,24.72,394.38,0.0,420.77,0.9553,5266.14,0.4126,7,0.4126,True,5.7998,5.801,5.7982,0.0028,0.000485,speed_threshold,True
222916418,osm-222916418-1-forward,D 44B,5295.6,116,adaptive_geometry,524,10.1,394.38,0.0,432.3,0.9815,5324.15,0.7979,41,0.426,False,,,,,,,
222916418,osm-222916418-1-forward,D 44B,5295.6,116,robust_median_local,530,9.97,393.91,-0.47,422.065,0.9582,5310.86,0.455,17,0.455,True,7.0826,7.0835,7.0815,0.002,0.000286,speed_threshold,True
222916418,osm-222916418-1-forward,D 44B,5295.6,116,net_dz_constrained,530,9.97,394.38,0.0,422.502,0.9592,5310.89,0.4551,17,0.4551,True,7.0794,7.0803,7.0783,0.002,0.000285,speed_threshold,True
846177345,osm-846177345-0-forward,RS 1091,4368.5,154,raw_10m,437,9.96,-47.3,0.0,247.54,0.9062,4422.06,1.101,49,1.101,False,,,,,,,
846177345,osm-846177345-0-forward,RS 1091,4368.5,154,raw_25m,175,24.74,-47.3,0.0,218.95,0.8016,4384.62,0.79,15,0.7363,False,,,,,,,
846177345,osm-846177345-0-forward,RS 1091,4368.5,154,adaptive_geometry,683,6.39,-47.3,0.0,263.63,0.9651,4440.69,1.1468,109,1.1468,False,,,,,,,
846177345,osm-846177345-0-forward,RS 1091,4368.5,154,robust_median_local,437,9.96,-47.265,0.035,228.51,0.8366,4422.97,1.295,42,1.295,False,,,,,,,
846177345,osm-846177345-0-forward,RS 1091,4368.5,154,net_dz_constrained,437,9.96,-47.3,0.0,228.495,0.8365,4422.97,1.295,42,1.295,False,,,,,,,
232744090,osm-232744090-0-forward,unclassified,4295.3,225,raw_10m,430,9.93,379.98,0.0,390.68,0.9799,4296.47,0.5001,11,0.5001,False,,,,,,,
232744090,osm-232744090-0-forward,unclassified,4295.3,225,raw_25m,172,24.33,379.98,0.0,385.4,0.9666,4208.09,0.4029,5,0.4029,True,5.7007,5.7019,5.6992,0.0027,0.000481,speed_threshold,True
232744090,osm-232744090-0-forward,unclassified,4295.3,225,adaptive_geometry,565,7.59,379.98,0.0,396.42,0.9943,4317.99,0.6761,38,0.6761,False,,,,,,,
