scenario,rank,admissible_time_s,distance_m,mean_speed_km_h,max_speed_km_h,start_osm_url,end_osm_url,start_coordinates,openstreetmap_view,surface_mix,surface_assumed_share,data_quality_flags
paved_reference,1,420.3,734.0,6.3,15.0,https://www.openstreetmap.org/way/1306372679,https://www.openstreetmap.org/way/49210503,"45.059193,6.037556",https://www.openstreetmap.org/#map=16/45.05919/6.03756,asphalt_good=100%,0.0,ascent is a large share of descent
paved_reference,2,388.4,746.0,6.9,17.3,https://www.openstreetmap.org/way/132663403,https://www.openstreetmap.org/way/49210503,"45.058894,6.037386",https://www.openstreetmap.org/#map=16/45.05889/6.03739,asphalt_good=100%,0.0,ascent is a large share of descent
paved_reference,3,374.3,1561.0,15.0,30.1,https://www.openstreetmap.org/way/210456518,https://www.openstreetmap.org/way/281000479,"45.158482,6.043029",https://www.openstreetmap.org/#map=16/45.15848/6.04303,asphalt_good=100%,0.0,run includes stationary time; ascent is a large share of descent
paved_reference,4,343.4,3196.0,33.5,35.9,https://www.openstreetmap.org/way/49894102,https://www.openstreetmap.org/way/49894102,"44.995376,6.076992",https://www.openstreetmap.org/#map=16/44.99538/6.07699,asphalt_good=100%,0.0,none raised
paved_reference,5,320.8,849.0,9.5,43.0,https://www.openstreetmap.org/way/589292444,https://www.openstreetmap.org/way/132670325,"45.053638,6.028107",https://www.openstreetmap.org/#map=16/45.05364/6.02811,asphalt_good=100%,0.0,none raised
paved_reference,6,319.1,649.0,7.3,20.2,https://www.openstreetmap.org/way/264130576,https://www.openstreetmap.org/way/1304085308,"45.121576,6.022638",https://www.openstreetmap.org/#map=16/45.12158/6.02264,asphalt_good=100%,0.0,none raised
paved_reference,7,306.1,769.0,9.0,15.0,https://www.openstreetmap.org/way/232403001,https://www.openstreetmap.org/way/439702677,"45.125265,6.036454",https://www.openstreetmap.org/#map=16/45.12526/6.03645,asphalt_good=100%,0.0,run includes stationary time
paved_reference,8,301.6,1387.0,16.6,46.3,https://www.openstreetmap.org/way/222916416,https://www.openstreetmap.org/way/1304085304,"45.121284,6.032904",https://www.openstreetmap.org/#map=16/45.12128/6.03290,asphalt_good=100%,0.0,none raised
paved_reference,9,292.7,849.0,10.4,41.9,https://www.openstreetmap.org/way/435277112,https://www.openstreetmap.org/way/132670325,"45.056556,6.025963",https://www.openstreetmap.org/#map=16/45.05656/6.02596,asphalt_good=100%,0.0,none raised
paved_reference,10,263.3,841.0,11.5,47.1,https://www.openstreetmap.org/way/775153051,https://www.openstreetmap.org/way/132670325,"45.055567,6.026146",https://www.openstreetmap.org/#map=16/45.05557/6.02615,asphalt_good=100%,0.0,none raised
reference_vtc,1,420.3,734.0,6.3,15.0,https://www.openstreetmap.org/way/1306372679,https://www.openstreetmap.org/way/49210503,"45.059193,6.037556",https://www.openstreetmap.org/#map=16/45.05919/6.03756,asphalt_good=100%,0.0,ascent is a large share of descent
reference_vtc,2,388.4,746.0,6.9,17.3,https://www.openstreetmap.org/way/132663403,https://www.openstreetmap.org/way/49210503,"45.058894,6.037386",https://www.openstreetmap.org/#map=16/45.05889/6.03739,asphalt_good=100%,0.0,ascent is a large share of descent
reference_vtc,3,376.3,3280.0,31.4,35.9,https://www.openstreetmap.org/way/49894102,https://www.openstreetmap.org/way/49894104,"44.995376,6.076992",https://www.openstreetmap.org/#map=16/44.99538/6.07699,asphalt_degraded=16%;asphalt_good=84%,0.16,none raised
reference_vtc,4,374.3,1561.0,15.0,30.1,https://www.openstreetmap.org/way/210456518,https://www.openstreetmap.org/way/281000479,"45.158482,6.043029",https://www.openstreetmap.org/#map=16/45.15848/6.04303,asphalt_good=100%,0.0,run includes stationary time; ascent is a large share of descent
reference_vtc,5,339.4,3179.0,33.7,41.5,https://www.openstreetmap.org/way/49894102,https://www.openstreetmap.org/way/98609516,"44.995376,6.076992",https://www.openstreetmap.org/#map=16/44.99538/6.07699,asphalt_degraded=9%;asphalt_good=91%,0.09,none raised
reference_vtc,6,321.9,652.0,7.3,20.0,https://www.openstreetmap.org/way/1323672157,https://www.openstreetmap.org/way/1304085308,"45.121494,6.022762",https://www.openstreetmap.org/#map=16/45.12149/6.02276,asphalt_degraded=2%;asphalt_good=98%,0.02,none raised
reference_vtc,7,320.8,849.0,9.5,43.0,https://www.openstreetmap.org/way/589292444,https://www.openstreetmap.org/way/132670325,"45.053638,6.028107",https://www.openstreetmap.org/#map=16/45.05364/6.02811,asphalt_good=100%,0.0,none raised
reference_vtc,8,319.1,649.0,7.3,20.2,https://www.openstreetmap.org/way/264130576,https://www.openstreetmap.org/way/1304085308,"45.121576,6.022638",https://www.openstreetmap.org/#map=16/45.12158/6.02264,asphalt_good=100%,0.0,none raised
reference_vtc,9,314.2,1014.0,11.6,40.4,https://www.openstreetmap.org/way/132663429,https://www.openstreetmap.org/way/132670325,"45.054392,6.026652",https://www.openstreetmap.org/#map=16/45.05439/6.02665,asphalt_degraded=25%;asphalt_good=75%,0.25,none raised
reference_vtc,10,312.5,720.0,8.3,15.0,https://www.openstreetmap.org/way/133213823,https://www.openstreetmap.org/way/133213824,"45.073246,6.174798",https://www.openstreetmap.org/#map=16/45.07325/6.17480,asphalt_degraded=100%,1.0,majority of length has an assumed surface
