scenario,rank,node_start_time_s,best_interior_offset_m,best_interior_gain_s,relative_gain
paved_reference,1,420.33,0.0,0.0,0.0
paved_reference,2,388.36,0.0,0.0,0.0
paved_reference,3,374.28,0.0,0.0,0.0
paved_reference,4,343.36,0.0,0.0,0.0
paved_reference,5,320.82,0.0,0.0,0.0
paved_reference,6,319.1,0.0,0.0,0.0
paved_reference,7,306.08,0.0,0.0,0.0
paved_reference,8,301.6,74.8,43.84,0.1453
paved_reference,9,292.71,0.0,0.0,0.0
paved_reference,10,263.32,0.0,0.0,0.0
reference_vtc,1,420.33,0.0,0.0,0.0
reference_vtc,2,388.36,0.0,0.0,0.0
reference_vtc,3,376.25,0.0,0.0,0.0
reference_vtc,4,374.28,0.0,0.0,0.0
reference_vtc,5,339.35,0.0,0.0,0.0
reference_vtc,6,321.88,0.0,0.0,0.0
reference_vtc,7,320.82,0.0,0.0,0.0
reference_vtc,8,319.1,0.0,0.0,0.0
reference_vtc,9,314.23,0.0,0.0,0.0
reference_vtc,10,312.53,0.0,0.0,0.0
