rank,admissible_time_s,elapsed_time_s,moving_time_s,stationary_time_s,distance_m,horizontal_length_m,net_dz_m,descent_m,ascent_m,start_elevation_m,end_elevation_m,start_lon,start_lat,end_lon,end_lat,max_speed_km_h,mean_speed_km_h,roads,edges_used,stop_reason,termination,turn_limited,bend_count,tightest_radius_m,critical_radius_m,required_lateral_m_s2,lateral_limit_m_s2,turn_margin_m_s2,surface_mix,surface_assumed_share,start_osm_way,end_osm_way,start_osm_url,edge_ids,scenario
1,420.33,420.33,420.22,0.11,734.3,1030.4,-1.8,5.6,3.8,722.9,721.0,6.037556,45.059193,6.029265,45.065028,15.0,6.29,primary > D 1091,11,speed_threshold,qualified_stop,False,75,20.2,21.0,0.75,3.43,2.68,asphalt_good=100%,0.0,1306372679,49210503,https://www.openstreetmap.org/way/1306372679,osm-1306372679-0-forward;osm-1306372678-0-forward;osm-1306372677-0-forward;osm-1306372683-0-forward;osm-1306372682-0-forward;osm-1306372681-0-forward;osm-1306372680-0-forward;osm-132663416-0-forward;osm-132663414-0-reverse;osm-152271733-0-reverse;osm-49210503-0-reverse,paved_reference
2,388.36,388.36,388.25,0.11,746.1,1042.0,-2.5,6.0,3.5,723.5,721.0,6.037386,45.058894,6.029265,45.065028,17.28,6.92,D 1091B > primary > D 1091,10,speed_threshold,qualified_stop,False,76,20.2,21.0,1.06,3.43,2.37,asphalt_good=100%,0.0,132663403,49210503,https://www.openstreetmap.org/way/132663403,osm-132663403-0-forward;osm-1306372677-0-forward;osm-1306372683-0-forward;osm-1306372682-0-forward;osm-1306372681-0-forward;osm-1306372680-0-forward;osm-132663416-0-forward;osm-132663414-0-reverse;osm-152271733-0-reverse;osm-49210503-0-reverse,paved_reference
3,374.28,374.28,373.16,1.12,1560.6,1943.0,-8.4,22.6,14.2,859.8,851.3,6.043029,45.158482,6.043167,45.141122,30.09,15.01,D 43,4,speed_threshold,qualified_stop,False,248,10.3,10.3,1.69,3.43,1.74,asphalt_good=100%,0.0,210456518,281000479,https://www.openstreetmap.org/way/210456518,osm-210456518-0-reverse;osm-1371357800-0-reverse;osm-1371357801-0-reverse;osm-281000479-1-reverse,paved_reference
4,343.36,343.36,343.36,0.0,3195.8,3193.0,-131.3,131.3,0.0,871.8,740.6,6.076992,44.995376,6.069148,45.022456,35.87,33.51,D 530,2,route_end,network_end,False,310,39.3,39.3,2.53,3.43,0.9,asphalt_good=100%,0.0,49894102,49894102,https://www.openstreetmap.org/way/49894102,osm-49894102-1-reverse;osm-49894102-0-reverse,paved_reference
5,320.82,320.82,320.82,0.0,849.4,850.7,-17.1,17.6,0.5,734.3,717.1,6.028107,45.053638,6.031175,45.05635,42.96,9.53,Chemin des Pères > Chemin du Facteur > Rue Général Bataille > Rue Gambetta > D 1091B > Quai Professeur Berlioux,15,speed_threshold,qualified_stop,False,50,18.6,74.5,1.47,3.43,1.96,asphalt_good=100%,0.0,589292444,132670325,https://www.openstreetmap.org/way/589292444,osm-589292444-2-reverse;osm-589292444-1-reverse;osm-589292444-0-reverse;osm-132663431-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-724628380-2-forward;osm-724628378-0-forward;osm-132670325-1-reverse,paved_reference
6,319.1,319.1,319.1,0.0,648.8,794.8,-6.8,6.9,0.0,719.3,712.5,6.022638,45.121576,6.015161,45.117064,20.16,7.32,D 526 > service > path,5,speed_threshold,qualified_stop,False,66,31.8,31.8,0.92,3.43,2.52,asphalt_good=100%,0.0,264130576,1304085308,https://www.openstreetmap.org/way/264130576,osm-264130576-0-reverse;osm-224136090-1-reverse;osm-224136090-0-reverse;osm-1323672159-0-reverse;osm-1304085308-1-reverse,paved_reference
7,306.08,306.08,305.02,1.06,768.8,802.4,-5.1,6.4,1.3,725.1,720.1,6.036454,45.125265,6.027793,45.123464,15.0,9.04,path,2,speed_threshold,qualified_stop,False,51,30.9,93.2,0.15,3.43,3.28,asphalt_good=100%,0.0,232403001,439702677,https://www.openstreetmap.org/way/232403001,osm-232403001-0-forward;osm-439702677-0-reverse,paved_reference
8,301.6,301.6,301.6,0.0,1387.1,1853.0,-48.8,49.2,0.4,761.2,712.5,6.032904,45.121284,6.015161,45.117064,46.35,16.56,D 44,4,speed_threshold,qualified_stop,False,108,44.9,49.5,3.32,3.43,0.11,asphalt_good=100%,0.0,222916416,1304085304,https://www.openstreetmap.org/way/222916416,osm-222916416-2-forward;osm-222916416-3-forward;osm-1304085304-0-forward;osm-1304085304-1-forward,paved_reference
9,292.71,292.71,292.71,0.0,848.6,857.2,-22.8,23.3,0.5,740.0,717.1,6.025963,45.056556,6.031175,45.05635,41.88,10.44,Rue Assieh Gueraud > Rue Saint-Antoine > Rue Général Bataille > Rue Gambetta > D 1091B > Quai Professeur Berlioux,17,speed_threshold,qualified_stop,False,35,43.2,212.9,0.58,3.43,2.85,asphalt_good=100%,0.0,435277112,132670325,https://www.openstreetmap.org/way/435277112,osm-435277112-3-reverse;osm-435277112-2-reverse;osm-435277112-1-reverse;osm-435277112-0-reverse;osm-560139075-0-reverse;osm-545361433-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-724628380-2-forward;osm-724628378-0-forward;osm-132670325-1-reverse,paved_reference
10,263.32,263.32,263.32,0.0,840.9,843.8,-20.1,20.6,0.5,737.3,717.2,6.026146,45.055567,6.031117,45.056328,47.09,11.5,Rue du Champ de Foire > Chemin du Facteur > Rue Général Bataille > Rue Gambetta > D 1091B > Quai Professeur Berlioux,15,speed_threshold,qualified_stop,False,46,22.0,74.5,1.94,3.43,1.5,asphalt_good=100%,0.0,775153051,132670325,https://www.openstreetmap.org/way/775153051,osm-775153051-0-reverse;osm-132663431-1-reverse;osm-132663431-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-724628380-2-forward;osm-724628378-0-forward;osm-132670325-1-reverse;osm-132670325-0-reverse,paved_reference
11,242.24,242.24,242.24,0.0,722.3,1295.3,-6.8,6.8,0.0,732.3,725.5,6.068401,45.032018,6.059701,45.041916,15.0,10.73,D 1091,6,speed_threshold,qualified_stop,False,0,,,,3.43,,asphalt_good=100%,0.0,152271731,28477411,https://www.openstreetmap.org/way/152271731,osm-152271731-1-reverse;osm-152271731-0-reverse;osm-1019378711-2-reverse;osm-1019378711-1-reverse;osm-1019378711-0-reverse;osm-28477411-10-reverse,paved_reference
12,230.94,230.94,230.94,0.0,624.1,643.4,-6.8,7.1,0.2,725.9,719.0,6.033901,45.127317,6.028169,45.124155,27.45,9.73,D 43 > D 526,11,speed_threshold,qualified_stop,False,13,51.1,121.3,0.45,3.43,2.98,asphalt_good=100%,0.0,1040486381,224136092,https://www.openstreetmap.org/way/1040486381,osm-1040486381-0-reverse;osm-224136092-12-reverse;osm-224136092-11-reverse;osm-224136092-10-reverse;osm-224136092-9-reverse;osm-224136092-8-reverse;osm-224136092-7-reverse;osm-224136092-6-reverse;osm-224136092-5-reverse;osm-224136092-4-reverse;osm-224136092-3-reverse,paved_reference
13,220.33,220.33,219.58,0.76,587.0,680.0,-4.1,6.4,2.3,722.8,718.8,6.02845,45.054919,6.029587,45.056285,23.18,9.59,Rue Général Bataille > Rue Gambetta > D 1091B > Quai Docteur Girard > Rue des Maquis de l'Oisans,11,speed_threshold,qualified_stop,False,32,16.1,169.8,0.24,3.43,3.2,asphalt_good=100%,0.0,1265751214,132670322,https://www.openstreetmap.org/way/1265751214,osm-1265751214-0-forward;osm-132675320-0-forward;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-132670324-0-forward;osm-132670322-0-forward,paved_reference
14,214.12,214.12,214.12,0.0,758.9,833.8,-16.7,16.8,0.1,734.3,717.6,6.028107,45.053638,6.029945,45.059276,42.96,12.76,Chemin des Pères > Chemin du Facteur > Rue Général Bataille > Rue Gambetta > D 1091B > Impasse du Racle > path > Rue de Belledonne,18,speed_threshold,qualified_stop,False,52,18.6,74.5,1.47,3.43,1.96,asphalt_good=100%,0.0,589292444,132605195,https://www.openstreetmap.org/way/589292444,osm-589292444-2-reverse;osm-589292444-1-reverse;osm-589292444-0-reverse;osm-132663431-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-2-reverse;osm-132675306-1-reverse;osm-132675306-0-reverse;osm-545361426-0-reverse;osm-217436816-1-reverse;osm-371252294-0-forward;osm-643145012-3-reverse;osm-252028580-0-reverse;osm-724628363-2-reverse;osm-724628363-1-reverse;osm-724628363-0-reverse;osm-132605195-0-reverse,paved_reference
15,201.69,201.69,201.69,0.0,758.4,832.5,-19.7,19.8,0.1,737.3,717.6,6.026146,45.055567,6.029945,45.059276,47.09,13.54,Rue du Champ de Foire > Chemin du Facteur > Rue Général Bataille > Rue Gambetta > D 1091B > path > Impasse du Racle > D 1091B ...,17,speed_threshold,qualified_stop,False,56,22.0,74.5,1.94,3.43,1.5,asphalt_good=100%,0.0,775153051,132605195,https://www.openstreetmap.org/way/775153051,osm-775153051-0-reverse;osm-132663431-1-reverse;osm-132663431-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-2-reverse;osm-132675306-1-reverse;osm-132675306-0-reverse;osm-643145012-4-reverse;osm-371252294-0-reverse;osm-217436816-0-reverse;osm-252028580-1-reverse;osm-252028580-0-reverse;osm-724628363-2-reverse;osm-724628363-1-reverse;osm-724628363-0-reverse;osm-132605195-0-reverse,paved_reference
16,200.59,200.59,199.84,0.76,577.4,670.1,-4.4,6.6,2.3,723.1,718.8,6.02785,45.055436,6.029587,45.056285,24.33,10.36,Rue Général Bataille > Rue Gambetta > D 1091B > Quai Docteur Girard > Rue des Maquis de l'Oisans,10,speed_threshold,qualified_stop,False,34,16.1,169.8,0.26,3.43,3.17,asphalt_good=100%,0.0,132675320,132670322,https://www.openstreetmap.org/way/132675320,osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-132670324-0-forward;osm-132670322-0-forward,paved_reference
17,197.76,197.76,197.76,0.0,129.2,194.2,-0.3,1.0,0.7,1800.4,1800.1,6.075374,45.089431,6.076794,45.088351,15.0,2.35,service,2,speed_threshold,qualified_stop,False,23,46.3,61.3,0.01,3.43,3.42,asphalt_good=100%,0.0,1016849383,122019424,https://www.openstreetmap.org/way/1016849383,osm-1016849383-1-forward;osm-122019424-0-reverse,paved_reference
18,195.59,195.59,195.59,0.0,719.6,792.9,-16.6,16.7,0.1,734.2,717.6,6.027927,45.053997,6.029945,45.059276,43.25,13.25,Chemin des Pères > Chemin du Facteur > Rue Général Bataille > Rue Gambetta > D 1091B > Rue de Belledonne,16,speed_threshold,qualified_stop,False,52,18.6,74.5,1.51,3.43,1.93,asphalt_good=100%,0.0,589292444,132605195,https://www.openstreetmap.org/way/589292444,osm-589292444-0-reverse;osm-132663431-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-2-reverse;osm-132675306-1-reverse;osm-132675306-0-reverse;osm-545361426-0-reverse;osm-217436816-1-reverse;osm-217436816-0-reverse;osm-252028580-1-reverse;osm-252028580-0-reverse;osm-724628363-2-reverse;osm-724628363-1-reverse;osm-724628363-0-reverse;osm-132605195-0-reverse,paved_reference
19,179.65,179.65,179.65,0.0,671.5,680.0,-14.8,15.4,0.6,732.6,717.8,6.026789,45.056547,6.032445,45.054175,37.06,13.46,Rue Saint-Antoine > Rue Général Bataille > Rue Gambetta > D 1091B > Rue du 19 Mars 1962 > Rue des Cristalliers,15,speed_threshold,qualified_stop,False,41,26.3,169.8,0.48,3.43,2.95,asphalt_good=100%,0.0,545361433,132699876,https://www.openstreetmap.org/way/545361433,osm-545361433-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-724628380-2-forward;osm-724628378-0-forward;osm-724628378-1-forward;osm-67079391-0-forward;osm-132699876-0-forward;osm-132699876-1-forward,paved_reference
20,173.28,173.28,173.28,0.0,508.2,547.2,-5.0,5.9,0.9,722.6,717.6,6.028109,45.055211,6.029945,45.059276,20.18,10.56,Rue Général Bataille > Avenue Jean-Baptiste Gauthier > D 1091B > Impasse du Racle > service > Rue de Belledonne,11,speed_threshold,qualified_stop,False,24,25.7,25.7,0.26,3.43,3.17,asphalt_good=100%,0.0,132675320,132605195,https://www.openstreetmap.org/way/132675320,osm-132675320-1-forward;osm-288090391-1-reverse;osm-288090391-0-reverse;osm-545361426-0-reverse;osm-217436816-1-reverse;osm-371252294-0-forward;osm-371252294-1-forward;osm-727775910-0-forward;osm-724628363-1-reverse;osm-724628363-0-reverse;osm-132605195-0-reverse,paved_reference
