rank,admissible_time_s,elapsed_time_s,moving_time_s,stationary_time_s,distance_m,horizontal_length_m,net_dz_m,descent_m,ascent_m,start_elevation_m,end_elevation_m,start_lon,start_lat,end_lon,end_lat,max_speed_km_h,mean_speed_km_h,roads,edges_used,stop_reason,termination,turn_limited,bend_count,tightest_radius_m,critical_radius_m,required_lateral_m_s2,lateral_limit_m_s2,turn_margin_m_s2,surface_mix,surface_assumed_share,start_osm_way,end_osm_way,start_osm_url,edge_ids,scenario
1,420.33,420.33,420.22,0.11,734.3,1030.4,-1.8,5.6,3.8,722.9,721.0,6.037556,45.059193,6.029265,45.065028,15.0,6.29,primary > D 1091,11,speed_threshold,qualified_stop,False,75,20.2,21.0,0.75,3.43,2.68,asphalt_good=100%,0.0,1306372679,49210503,https://www.openstreetmap.org/way/1306372679,osm-1306372679-0-forward;osm-1306372678-0-forward;osm-1306372677-0-forward;osm-1306372683-0-forward;osm-1306372682-0-forward;osm-1306372681-0-forward;osm-1306372680-0-forward;osm-132663416-0-forward;osm-132663414-0-reverse;osm-152271733-0-reverse;osm-49210503-0-reverse,reference_vtc
2,388.36,388.36,388.25,0.11,746.1,1042.0,-2.5,6.0,3.5,723.5,721.0,6.037386,45.058894,6.029265,45.065028,17.28,6.92,D 1091B > primary > D 1091,10,speed_threshold,qualified_stop,False,76,20.2,21.0,1.06,3.43,2.37,asphalt_good=100%,0.0,132663403,49210503,https://www.openstreetmap.org/way/132663403,osm-132663403-0-forward;osm-1306372677-0-forward;osm-1306372683-0-forward;osm-1306372682-0-forward;osm-1306372681-0-forward;osm-1306372680-0-forward;osm-132663416-0-forward;osm-132663414-0-reverse;osm-152271733-0-reverse;osm-49210503-0-reverse,reference_vtc
3,376.25,376.25,376.25,0.0,3279.8,3793.7,-128.6,131.3,2.6,871.8,743.2,6.076992,44.995376,6.071815,45.027524,35.87,31.38,D 530,3,speed_threshold,qualified_stop,False,350,39.3,39.3,2.53,3.43,0.9,asphalt_degraded=16%;asphalt_good=84%,0.158,49894102,49894104,https://www.openstreetmap.org/way/49894102,osm-49894102-1-reverse;osm-49894102-0-reverse;osm-49894104-1-reverse,reference_vtc
4,374.28,374.28,373.16,1.12,1560.6,1943.0,-8.4,22.6,14.2,859.8,851.3,6.043029,45.158482,6.043167,45.141122,30.09,15.01,D 43,4,speed_threshold,qualified_stop,False,248,10.3,10.3,1.69,3.43,1.74,asphalt_good=100%,0.0,210456518,281000479,https://www.openstreetmap.org/way/210456518,osm-210456518-0-reverse;osm-1371357800-0-reverse;osm-1371357801-0-reverse;osm-281000479-1-reverse,reference_vtc
5,339.35,339.35,339.35,0.0,3179.4,3176.4,-133.1,133.1,0.0,871.8,738.7,6.076992,44.995376,6.064528,45.021999,41.5,33.73,D 530 > unclassified,2,route_end,network_end,False,304,39.3,45.8,2.9,3.43,0.53,asphalt_degraded=9%;asphalt_good=91%,0.095,49894102,98609516,https://www.openstreetmap.org/way/49894102,osm-49894102-1-reverse;osm-98609516-0-forward,reference_vtc
6,321.88,321.88,321.88,0.0,652.3,800.5,-6.8,6.9,0.0,719.3,712.5,6.022762,45.121494,6.015161,45.117064,20.0,7.3,Chemin de la Pièce des Roux > D 526 > service > path,5,speed_threshold,qualified_stop,False,66,31.8,31.8,0.9,3.43,2.53,asphalt_degraded=2%;asphalt_good=98%,0.016,1323672157,1304085308,https://www.openstreetmap.org/way/1323672157,osm-1323672157-0-reverse;osm-224136090-1-reverse;osm-224136090-0-reverse;osm-1323672159-0-reverse;osm-1304085308-1-reverse,reference_vtc
7,320.82,320.82,320.82,0.0,849.4,850.7,-17.1,17.6,0.5,734.3,717.1,6.028107,45.053638,6.031175,45.05635,42.96,9.53,Chemin des Pères > Chemin du Facteur > Rue Général Bataille > Rue Gambetta > D 1091B > Quai Professeur Berlioux,15,speed_threshold,qualified_stop,False,50,18.6,74.5,1.47,3.43,1.96,asphalt_good=100%,0.0,589292444,132670325,https://www.openstreetmap.org/way/589292444,osm-589292444-2-reverse;osm-589292444-1-reverse;osm-589292444-0-reverse;osm-132663431-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-724628380-2-forward;osm-724628378-0-forward;osm-132670325-1-reverse,reference_vtc
8,319.1,319.1,319.1,0.0,648.8,794.8,-6.8,6.9,0.0,719.3,712.5,6.022638,45.121576,6.015161,45.117064,20.16,7.32,D 526 > service > path,5,speed_threshold,qualified_stop,False,66,31.8,31.8,0.92,3.43,2.52,asphalt_good=100%,0.0,264130576,1304085308,https://www.openstreetmap.org/way/264130576,osm-264130576-0-reverse;osm-224136090-1-reverse;osm-224136090-0-reverse;osm-1323672159-0-reverse;osm-1304085308-1-reverse,reference_vtc
9,314.23,314.23,314.23,0.0,1014.4,1033.3,-27.4,27.9,0.5,744.5,717.1,6.026652,45.054392,6.031175,45.05635,40.43,11.62,Montée du Belvédère > Rue Saint-Antoine > Rue Général Bataille > Rue Gambetta > D 1091B > Quai Professeur Berlioux,15,speed_threshold,qualified_stop,False,65,43.2,47.0,1.55,3.43,1.88,asphalt_degraded=25%;asphalt_good=75%,0.253,132663429,132670325,https://www.openstreetmap.org/way/132663429,osm-132663429-0-reverse;osm-132663430-1-reverse;osm-132663430-0-reverse;osm-545361433-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-724628380-2-forward;osm-724628378-0-forward;osm-132670325-1-reverse,reference_vtc
10,312.53,312.53,312.53,0.0,720.1,720.1,-8.5,8.5,0.0,1563.8,1555.3,6.174798,45.073246,6.180038,45.07848,15.0,8.29,unclassified,2,route_end,network_end,False,64,26.3,26.3,0.32,3.43,3.11,asphalt_degraded=100%,1.0,133213823,133213824,https://www.openstreetmap.org/way/133213823,osm-133213823-0-reverse;osm-133213824-0-reverse,reference_vtc
11,306.08,306.08,305.02,1.06,768.8,802.4,-5.1,6.4,1.3,725.1,720.1,6.036454,45.125265,6.027793,45.123464,15.0,9.04,path,2,speed_threshold,qualified_stop,False,51,30.9,93.2,0.15,3.43,3.28,asphalt_good=100%,0.0,232403001,439702677,https://www.openstreetmap.org/way/232403001,osm-232403001-0-forward;osm-439702677-0-reverse,reference_vtc
12,301.6,301.6,301.6,0.0,1387.1,1853.0,-48.8,49.2,0.4,761.2,712.5,6.032904,45.121284,6.015161,45.117064,46.35,16.56,D 44,4,speed_threshold,qualified_stop,False,108,44.9,49.5,3.32,3.43,0.11,asphalt_good=100%,0.0,222916416,1304085304,https://www.openstreetmap.org/way/222916416,osm-222916416-2-forward;osm-222916416-3-forward;osm-1304085304-0-forward;osm-1304085304-1-forward,reference_vtc
13,295.89,295.89,295.89,0.0,873.9,877.8,-24.6,25.1,0.5,741.7,717.1,6.025701,45.056555,6.031175,45.05635,42.56,10.63,residential > Rue Assieh Gueraud > Rue Saint-Antoine > Rue Général Bataille > Rue Gambetta > D 1091B > Quai Professeur Berlioux,19,speed_threshold,qualified_stop,False,35,43.2,212.9,0.62,3.43,2.81,asphalt_degraded=2%;asphalt_good=98%,0.024,560139076,132670325,https://www.openstreetmap.org/way/560139076,osm-560139076-1-reverse;osm-560139076-0-reverse;osm-435277112-3-reverse;osm-435277112-2-reverse;osm-435277112-1-reverse;osm-435277112-0-reverse;osm-560139075-0-reverse;osm-545361433-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-724628380-2-forward;osm-724628378-0-forward;osm-132670325-1-reverse,reference_vtc
14,288.63,288.63,287.54,1.09,830.4,874.4,-10.4,11.9,1.4,730.4,720.0,6.016541,45.073975,6.02044,45.080995,22.41,10.36,unclassified,1,speed_threshold,qualified_stop,False,63,34.5,61.7,0.54,3.43,2.9,asphalt_degraded=100%,1.0,181437616,181437616,https://www.openstreetmap.org/way/181437616,osm-181437616-0-forward,reference_vtc
15,287.53,287.53,287.53,0.0,677.2,728.8,-6.7,6.7,0.0,732.3,725.7,6.068401,45.032018,6.062305,45.036422,15.0,8.48,D 1091 > Rue des Vergers > Chemin du Verney,5,speed_threshold,qualified_stop,False,53,22.3,47.3,0.19,3.43,3.24,asphalt_degraded=44%;asphalt_good=56%,0.444,152271731,532548231,https://www.openstreetmap.org/way/152271731,osm-152271731-1-reverse;osm-152271731-0-reverse;osm-1019378711-2-reverse;osm-225398356-1-reverse;osm-532548231-0-reverse,reference_vtc
