scenario,rank,lateral_scenario,lateral_limit_m_s2,bend_count,tightest_radius_m,critical_radius_m,speed_at_critical_km_h,required_lateral_m_s2,permitted_speed_km_h,margin_m_s2,violated,elapsed_time_s,admissible_time_s
paved_reference,1,conservative,1.96,75,20.2,21.0,14.3,0.75,23.1,1.21,False,420.33,420.33
paved_reference,1,nominal,3.43,75,20.2,21.0,14.3,0.75,30.5,2.68,False,420.33,420.33
paved_reference,1,committed,4.9,75,20.2,21.0,14.3,0.75,36.5,4.15,False,420.33,420.33
paved_reference,2,conservative,1.96,76,20.2,21.0,17.0,1.06,23.1,0.9,False,388.36,388.36
paved_reference,2,nominal,3.43,76,20.2,21.0,17.0,1.06,30.5,2.37,False,388.36,388.36
paved_reference,2,committed,4.9,76,20.2,21.0,17.0,1.06,36.5,3.84,False,388.36,388.36
paved_reference,3,conservative,1.96,248,10.3,10.3,15.0,1.69,16.2,0.27,False,374.28,374.28
paved_reference,3,nominal,3.43,248,10.3,10.3,15.0,1.69,21.4,1.74,False,374.28,374.28
paved_reference,3,committed,4.9,248,10.3,10.3,15.0,1.69,25.6,3.21,False,374.28,374.28
paved_reference,4,conservative,1.96,310,39.3,39.3,35.9,2.53,31.6,-0.57,True,343.36,67.88
paved_reference,4,nominal,3.43,310,39.3,39.3,35.9,2.53,41.8,0.9,False,343.36,343.36
paved_reference,4,committed,4.9,310,39.3,39.3,35.9,2.53,49.9,2.38,False,343.36,343.36
paved_reference,5,conservative,1.96,50,18.6,74.5,37.7,1.47,43.5,0.49,False,320.82,320.82
paved_reference,5,nominal,3.43,50,18.6,74.5,37.7,1.47,57.6,1.96,False,320.82,320.82
paved_reference,5,committed,4.9,50,18.6,74.5,37.7,1.47,68.8,3.43,False,320.82,320.82
paved_reference,6,conservative,1.96,66,31.8,31.8,19.4,0.92,28.4,1.05,False,319.1,319.1
paved_reference,6,nominal,3.43,66,31.8,31.8,19.4,0.92,37.6,2.52,False,319.1,319.1
paved_reference,6,committed,4.9,66,31.8,31.8,19.4,0.92,45.0,3.99,False,319.1,319.1
paved_reference,7,conservative,1.96,51,30.9,93.2,13.6,0.15,48.7,1.81,False,306.08,306.08
paved_reference,7,nominal,3.43,51,30.9,93.2,13.6,0.15,64.4,3.28,False,306.08,306.08
paved_reference,7,committed,4.9,51,30.9,93.2,13.6,0.15,77.0,4.75,False,306.08,306.08
paved_reference,8,conservative,1.96,108,44.9,49.5,46.2,3.32,35.5,-1.36,True,301.6,136.35
paved_reference,8,nominal,3.43,108,44.9,49.5,46.2,3.32,46.9,0.11,False,301.6,301.6
paved_reference,8,committed,4.9,108,44.9,49.5,46.2,3.32,56.1,1.58,False,301.6,301.6
paved_reference,9,conservative,1.96,35,43.2,212.9,40.2,0.58,73.6,1.38,False,292.71,292.71
paved_reference,9,nominal,3.43,35,43.2,212.9,40.2,0.58,97.3,2.85,False,292.71,292.71
paved_reference,9,committed,4.9,35,43.2,212.9,40.2,0.58,116.3,4.32,False,292.71,292.71
paved_reference,10,conservative,1.96,46,22.0,74.5,43.2,1.94,43.5,0.03,False,263.32,263.32
paved_reference,10,nominal,3.43,46,22.0,74.5,43.2,1.94,57.6,1.5,False,263.32,263.32
paved_reference,10,committed,4.9,46,22.0,74.5,43.2,1.94,68.8,2.97,False,263.32,263.32
paved_reference,11,conservative,1.96,0,,,,,,,False,242.24,242.24
paved_reference,11,nominal,3.43,0,,,,,,,False,242.24,242.24
paved_reference,11,committed,4.9,0,,,,,,,False,242.24,242.24
paved_reference,12,conservative,1.96,13,51.1,121.3,26.5,0.45,55.5,1.51,False,230.94,230.94
paved_reference,12,nominal,3.43,13,51.1,121.3,26.5,0.45,73.4,2.98,False,230.94,230.94
paved_reference,12,committed,4.9,13,51.1,121.3,26.5,0.45,87.8,4.46,False,230.94,230.94
paved_reference,13,conservative,1.96,32,16.1,169.8,22.8,0.24,65.7,1.72,False,220.33,220.33
paved_reference,13,nominal,3.43,32,16.1,169.8,22.8,0.24,86.9,3.2,False,220.33,220.33
paved_reference,13,committed,4.9,32,16.1,169.8,22.8,0.24,103.9,4.67,False,220.33,220.33
paved_reference,14,conservative,1.96,52,18.6,74.5,37.7,1.47,43.5,0.49,False,214.12,214.12
paved_reference,14,nominal,3.43,52,18.6,74.5,37.7,1.47,57.6,1.96,False,214.12,214.12
paved_reference,14,committed,4.9,52,18.6,74.5,37.7,1.47,68.8,3.43,False,214.12,214.12
paved_reference,15,conservative,1.96,56,22.0,74.5,43.2,1.94,43.5,0.03,False,201.69,201.69
paved_reference,15,nominal,3.43,56,22.0,74.5,43.2,1.94,57.6,1.5,False,201.69,201.69
paved_reference,15,committed,4.9,56,22.0,74.5,43.2,1.94,68.8,2.97,False,201.69,201.69
paved_reference,16,conservative,1.96,34,16.1,169.8,23.9,0.26,65.7,1.7,False,200.59,200.59
paved_reference,16,nominal,3.43,34,16.1,169.8,23.9,0.26,86.9,3.17,False,200.59,200.59
paved_reference,16,committed,4.9,34,16.1,169.8,23.9,0.26,103.9,4.64,False,200.59,200.59
paved_reference,17,conservative,1.96,23,46.3,61.3,2.7,0.01,39.5,1.95,False,197.76,197.76
paved_reference,17,nominal,3.43,23,46.3,61.3,2.7,0.01,52.2,3.42,False,197.76,197.76
paved_reference,17,committed,4.9,23,46.3,61.3,2.7,0.01,62.4,4.89,False,197.76,197.76
paved_reference,18,conservative,1.96,52,18.6,74.5,38.1,1.51,43.5,0.46,False,195.59,195.59
paved_reference,18,nominal,3.43,52,18.6,74.5,38.1,1.51,57.6,1.93,False,195.59,195.59
paved_reference,18,committed,4.9,52,18.6,74.5,38.1,1.51,68.8,3.4,False,195.59,195.59
paved_reference,19,conservative,1.96,41,26.3,169.8,32.5,0.48,65.7,1.48,False,179.65,179.65
paved_reference,19,nominal,3.43,41,26.3,169.8,32.5,0.48,86.9,2.95,False,179.65,179.65
paved_reference,19,committed,4.9,41,26.3,169.8,32.5,0.48,103.9,4.42,False,179.65,179.65
paved_reference,20,conservative,1.96,24,25.7,25.7,9.3,0.26,25.5,1.7,False,173.28,173.28
paved_reference,20,nominal,3.43,24,25.7,25.7,9.3,0.26,33.8,3.17,False,173.28,173.28
paved_reference,20,committed,4.9,24,25.7,25.7,9.3,0.26,40.4,4.64,False,173.28,173.28
reference_vtc,1,conservative,1.96,75,20.2,21.0,14.3,0.75,23.1,1.21,False,420.33,420.33
reference_vtc,1,nominal,3.43,75,20.2,21.0,14.3,0.75,30.5,2.68,False,420.33,420.33
reference_vtc,1,committed,4.9,75,20.2,21.0,14.3,0.75,36.5,4.15,False,420.33,420.33
reference_vtc,2,conservative,1.96,76,20.2,21.0,17.0,1.06,23.1,0.9,False,388.36,388.36
reference_vtc,2,nominal,3.43,76,20.2,21.0,17.0,1.06,30.5,2.37,False,388.36,388.36
reference_vtc,2,committed,4.9,76,20.2,21.0,17.0,1.06,36.5,3.84,False,388.36,388.36
reference_vtc,3,conservative,1.96,350,39.3,39.3,35.9,2.53,31.6,-0.57,True,376.25,67.88
reference_vtc,3,nominal,3.43,350,39.3,39.3,35.9,2.53,41.8,0.9,False,376.25,376.25
reference_vtc,3,committed,4.9,350,39.3,39.3,35.9,2.53,49.9,2.38,False,376.25,376.25
reference_vtc,4,conservative,1.96,248,10.3,10.3,15.0,1.69,16.2,0.27,False,374.28,374.28
reference_vtc,4,nominal,3.43,248,10.3,10.3,15.0,1.69,21.4,1.74,False,374.28,374.28
reference_vtc,4,committed,4.9,248,10.3,10.3,15.0,1.69,25.6,3.21,False,374.28,374.28
reference_vtc,5,conservative,1.96,304,39.3,45.8,41.5,2.9,34.1,-0.94,True,339.35,67.88
reference_vtc,5,nominal,3.43,304,39.3,45.8,41.5,2.9,45.2,0.53,False,339.35,339.35
reference_vtc,5,committed,4.9,304,39.3,45.8,41.5,2.9,54.0,2.01,False,339.35,339.35
reference_vtc,6,conservative,1.96,66,31.8,31.8,19.3,0.9,28.4,1.06,False,321.88,321.88
reference_vtc,6,nominal,3.43,66,31.8,31.8,19.3,0.9,37.6,2.53,False,321.88,321.88
reference_vtc,6,committed,4.9,66,31.8,31.8,19.3,0.9,45.0,4.0,False,321.88,321.88
reference_vtc,7,conservative,1.96,50,18.6,74.5,37.7,1.47,43.5,0.49,False,320.82,320.82
reference_vtc,7,nominal,3.43,50,18.6,74.5,37.7,1.47,57.6,1.96,False,320.82,320.82
reference_vtc,7,committed,4.9,50,18.6,74.5,37.7,1.47,68.8,3.43,False,320.82,320.82
reference_vtc,8,conservative,1.96,66,31.8,31.8,19.4,0.92,28.4,1.05,False,319.1,319.1
reference_vtc,8,nominal,3.43,66,31.8,31.8,19.4,0.92,37.6,2.52,False,319.1,319.1
reference_vtc,8,committed,4.9,66,31.8,31.8,19.4,0.92,45.0,3.99,False,319.1,319.1
reference_vtc,9,conservative,1.96,65,43.2,47.0,30.7,1.55,34.6,0.41,False,314.23,314.23
reference_vtc,9,nominal,3.43,65,43.2,47.0,30.7,1.55,45.7,1.88,False,314.23,314.23
reference_vtc,9,committed,4.9,65,43.2,47.0,30.7,1.55,54.7,3.35,False,314.23,314.23
reference_vtc,10,conservative,1.96,64,26.3,26.3,10.5,0.32,25.9,1.64,False,312.53,312.53
reference_vtc,10,nominal,3.43,64,26.3,26.3,10.5,0.32,34.2,3.11,False,312.53,312.53
reference_vtc,10,committed,4.9,64,26.3,26.3,10.5,0.32,40.9,4.58,False,312.53,312.53
reference_vtc,11,conservative,1.96,51,30.9,93.2,13.6,0.15,48.7,1.81,False,306.08,306.08
reference_vtc,11,nominal,3.43,51,30.9,93.2,13.6,0.15,64.4,3.28,False,306.08,306.08
reference_vtc,11,committed,4.9,51,30.9,93.2,13.6,0.15,77.0,4.75,False,306.08,306.08
reference_vtc,12,conservative,1.96,108,44.9,49.5,46.2,3.32,35.5,-1.36,True,301.6,136.35
reference_vtc,12,nominal,3.43,108,44.9,49.5,46.2,3.32,46.9,0.11,False,301.6,301.6
reference_vtc,12,committed,4.9,108,44.9,49.5,46.2,3.32,56.1,1.58,False,301.6,301.6
reference_vtc,13,conservative,1.96,35,43.2,212.9,41.4,0.62,73.6,1.34,False,295.89,295.89
reference_vtc,13,nominal,3.43,35,43.2,212.9,41.4,0.62,97.3,2.81,False,295.89,295.89
