position,edge_id,osm_way_id,osm_url,piece_index,direction,from_node,to_node,name,highway,travelled_m,route_start_m,route_end_m,entered,start_elevation_m,end_elevation_m,net_dz_m,descent_m,ascent_m,mean_grade_ratio,surface_class,surface_is_assumed,usability,usability_reason,structure_status,start_lat,start_lon,end_lat,end_lon,tag_bridge,tag_tunnel,tag_covered,tag_layer,tag_tracktype,tag_surface,tag_smoothness
1,osm-49164994-0-forward,49164994,https://www.openstreetmap.org/way/49164994,0,forward,623671178,13464870375,Rue de Piégut,residential,178.69,0.0,178.69,True,1636.12,1626.97,-9.15,9.64,0.49,-0.05131,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.052416,6.076533,45.053968,6.076199,,,,,,asphalt,
2,osm-49164994-1-forward,49164994,https://www.openstreetmap.org/way/49164994,1,forward,13464870375,9391698284,Rue de Piégut,residential,193.12,178.69,371.81,True,1626.97,1613.48,-13.49,13.64,0.15,-0.07007,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.053968,6.076199,45.053905,6.076987,,,,,,asphalt,
3,osm-49164994-2-forward,49164994,https://www.openstreetmap.org/way/49164994,2,forward,9391698284,623671583,Rue de Piégut,residential,536.67,371.81,908.48,True,1613.48,1585.62,-27.86,30.88,3.02,-0.0521,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.053905,6.076987,45.0554,6.078668,,,,,,asphalt,
4,osm-186907705-1-forward,186907705,https://www.openstreetmap.org/way/186907705,1,forward,623671583,1976431541,Rue de la Piscine,residential,12.65,908.48,921.13,True,1585.62,1585.21,-0.41,0.41,0.0,-0.03242,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.0554,6.078668,45.055495,6.078757,,,,,,asphalt,
5,osm-935439941-0-forward,935439941,https://www.openstreetmap.org/way/935439941,0,forward,1976431541,1976431538,D 211e,tertiary,40.87,921.13,962.0,True,1585.21,1583.72,-1.49,1.49,0.0,-0.03649,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.055495,6.078757,45.055628,6.079234,,,,,,asphalt,
6,osm-187059537-0-forward,187059537,https://www.openstreetmap.org/way/187059537,0,forward,1976431538,623567884,D 211e,tertiary,25.78,962.0,987.78,True,1583.72,1583.54,-0.18,0.18,0.0,-0.00698,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.055628,6.079234,45.055559,6.079547,,,,,,asphalt,
7,osm-187059537-1-forward,187059537,https://www.openstreetmap.org/way/187059537,1,forward,623567884,4500396524,D 211e,tertiary,2820.83,987.78,3808.61,True,1583.54,1411.51,-172.03,173.87,1.84,-0.06115,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.055559,6.079547,45.051578,6.08431,,,,,,asphalt,
8,osm-187059537-2-forward,187059537,https://www.openstreetmap.org/way/187059537,2,forward,4500396524,1976485493,D 211e,tertiary,16.71,3808.61,3825.32,True,1411.51,1410.91,-0.6,0.6,0.0,-0.03593,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.051578,6.08431,45.051559,6.0841,,,,,,asphalt,
9,osm-186901645-1-reverse,186901645,https://www.openstreetmap.org/way/186901645,1,reverse,1976485493,1976485529,Rue Sainte Marie,residential,91.25,3825.32,3916.58,True,1410.91,1399.58,-11.33,11.33,0.0,-0.1253,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.051559,6.0841,45.051214,6.085122,,,,,,asphalt,
10,osm-186901645-0-reverse,186901645,https://www.openstreetmap.org/way/186901645,0,reverse,1976485529,1976485538,Rue Sainte Marie,residential,90.53,3916.58,4007.11,True,1399.58,1387.14,-12.44,12.44,0.0,-0.13889,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.051214,6.085122,45.050934,6.086156,,,,,,asphalt,
11,osm-186901646-3-reverse,186901646,https://www.openstreetmap.org/way/186901646,3,reverse,1976485538,1976485490,Rue du Pissaille,residential,4.45,4007.11,4011.56,True,1387.14,1385.25,-1.89,1.89,0.0,-0.46851,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.050934,6.086156,45.050898,6.08616,,,,,,asphalt,
12,osm-186901646-2-reverse,186901646,https://www.openstreetmap.org/way/186901646,2,reverse,1976485490,7103323480,Rue du Pissaille,residential,54.98,4011.56,4066.55,True,1385.25,1381.58,-3.67,3.67,0.0,-0.06695,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.050898,6.08616,45.050775,6.085492,,,,,,asphalt,
13,osm-186901646-1-reverse,186901646,https://www.openstreetmap.org/way/186901646,1,reverse,7103323480,1976485571,Rue du Pissaille,residential,21.68,4066.55,4088.22,True,1381.58,1381.61,0.03,-0.0,0.03,0.00138,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.050775,6.085492,45.0508,6.085219,,,,,,asphalt,
14,osm-186901646-0-reverse,186901646,https://www.openstreetmap.org/way/186901646,0,reverse,1976485571,1976485475,Rue du Pissaille,residential,43.18,4088.22,4131.4,True,1381.61,1371.49,-10.12,10.12,0.0,-0.24111,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.0508,6.085219,45.050625,6.084747,,,,,,asphalt,
15,osm-760412724-0-forward,760412724,https://www.openstreetmap.org/way/760412724,0,forward,1976485475,1976485360,D 211G,residential,11.75,4131.4,4143.15,True,1371.49,1369.67,-1.82,1.82,0.0,-0.15675,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.050625,6.084747,45.050607,6.084601,,,,,,asphalt,
16,osm-760412724-1-forward,760412724,https://www.openstreetmap.org/way/760412724,1,forward,1976485360,7103323446,D 211G,residential,30.78,4143.15,4173.93,True,1369.67,1366.27,-3.4,3.4,0.0,-0.11115,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.050607,6.084601,45.05058,6.084215,,,,,,asphalt,
17,osm-760412724-2-forward,760412724,https://www.openstreetmap.org/way/760412724,2,forward,7103323446,1976485491,D 211G,residential,68.11,4173.93,4242.04,True,1366.27,1367.28,1.01,0.95,1.96,0.01484,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.05058,6.084215,45.050661,6.083361,,,,,,asphalt,
18,osm-222919304-0-forward,222919304,https://www.openstreetmap.org/way/222919304,0,forward,1976485491,623567815,D 211G,residential,435.64,4242.04,4677.67,True,1367.28,1355.86,-11.42,19.88,8.46,-0.0263,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.050661,6.083361,45.047246,6.084524,,,,,,asphalt,
