profile_segment,route_distance_m,edge_id,osm_way_id,name,lat,lon,nearest_limit_km_h,nearest_limit_offset_m
1,21.4,osm-105310862-0-forward,105310862,Chemin du Chamont,45.093135,6.067344,72.8,2.4
10,232.2,osm-105310862-1-forward,105310862,Chemin du Chamont,45.091916,6.06525,71.8,2.4
12,282.4,osm-105310862-1-forward,105310862,Chemin du Chamont,45.091605,6.064794,106.7,2.4
13,307.6,osm-105310862-1-forward,105310862,Chemin du Chamont,45.09143,6.064598,74.7,2.4
17,385.6,osm-119437611-0-forward,119437611,Chemin du Chamont,45.090823,6.064122,44.8,7.6
18,402.7,osm-119437611-0-forward,119437611,Chemin du Chamont,45.090671,6.063986,24.6,0.6
19,419.6,osm-264130580-1-forward,264130580,D 211,45.090684,6.063847,36.7,2.4
27,605.5,osm-264130580-2-forward,264130580,D 211,45.091168,6.061548,111.3,2.1
29,637.5,osm-724634109-0-forward,724634109,D 211,45.091256,6.061194,72.5,1.2
48,1085.8,osm-724634109-4-forward,724634109,D 211,45.091551,6.055444,74.1,0.4
49,1109.5,osm-724634109-4-forward,724634109,D 211,45.091462,6.055348,25.5,0.4
50,1131.8,osm-724634109-4-forward,724634109,D 211,45.091358,6.055428,25.7,2.0
73,1637.5,osm-264100584-1-forward,264100584,D 211,45.088816,6.060406,69.9,2.1
74,1658.5,osm-264100584-2-forward,264100584,D 211,45.08871,6.060475,19.9,0.8
87,1980.7,osm-264100584-2-forward,264100584,D 211,45.08892,6.056371,41.4,1.7
91,2077.9,osm-264100584-2-forward,264100584,D 211,45.088157,6.05582,22.5,0.6
92,2099.6,osm-264100584-2-forward,264100584,D 211,45.088108,6.055925,33.3,0.5
128,2838.4,osm-1315255667-2-forward,1315255667,D 211,45.083587,6.061648,61.6,1.8
131,2911.3,osm-1315255667-2-forward,1315255667,D 211,45.083612,6.062624,21.6,0.2
132,2932.4,osm-1315255667-2-forward,1315255667,D 211,45.08349,6.062525,26.5,0.9
149,3315.4,osm-28437433-1-forward,28437433,D 211,45.083472,6.057839,52.5,0.8
150,3340.2,osm-28437433-1-forward,28437433,D 211,45.083667,6.057684,46.0,0.6
151,3362.6,osm-28437433-1-forward,28437433,D 211,45.083686,6.057561,22.0,0.6
157,3510.2,osm-28437433-1-forward,28437433,D 211,45.082397,6.057756,47.2,2.3
164,3650.8,osm-28437433-3-forward,28437433,D 211,45.082207,6.059477,39.9,2.5
165,3665.2,osm-28437433-3-forward,28437433,D 211,45.082202,6.059667,19.2,1.8
166,3678.4,osm-222918432-0-forward,222918432,D 211C,45.082149,6.059695,19.3,1.6
182,3937.9,osm-222918432-10-forward,222918432,D 211C,45.081959,6.056565,30.3,0.5
183,3952.7,osm-222918432-10-forward,222918432,D 211C,45.081971,6.056418,21.2,2.0
184,3968.6,osm-72898374-0-forward,72898374,D 212B,45.081868,6.05637,91.5,2.3
186,4018.4,osm-72898374-0-forward,72898374,D 212B,45.08138,6.056444,36.3,2.0
188,4062.3,osm-72898374-1-forward,72898374,D 212B,45.081056,6.056654,32.8,0.5
193,4133.8,osm-72898374-4-forward,72898374,D 212B,45.08079,6.05748,53.6,2.4
196,4180.3,osm-72898374-5-forward,72898374,D 212B,45.080782,6.058066,46.2,2.3
197,4195.5,osm-72898374-6-forward,72898374,D 212B,45.080811,6.058254,113.3,2.4
198,4220.1,osm-72898374-6-forward,72898374,D 212B,45.080904,6.058612,44.2,2.4
199,4234.7,osm-72898374-6-forward,72898374,D 212B,45.080898,6.058735,19.2,2.2
200,4249.7,osm-1082369795-0-forward,1082369795,D 211,45.080812,6.058694,26.6,2.5
