position,edge_id,osm_way_id,osm_url,piece_index,direction,from_node,to_node,name,highway,travelled_m,route_start_m,route_end_m,entered,start_elevation_m,end_elevation_m,net_dz_m,descent_m,ascent_m,mean_grade_ratio,surface_class,surface_is_assumed,usability,usability_reason,structure_status,start_lat,start_lon,end_lat,end_lon,tag_bridge,tag_tunnel,tag_covered,tag_layer,tag_tracktype,tag_surface,tag_smoothness
1,osm-105307283-2-reverse,105307283,https://www.openstreetmap.org/way/105307283,2,reverse,9201862584,1213608029,Chemin des Bergers,residential,9.0,0.0,9.0,True,1827.91,1826.55,-1.36,1.36,0.0,-0.15291,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.093237,6.067371,45.093159,6.067397,,,,,,asphalt,
2,osm-105310862-0-forward,105310862,https://www.openstreetmap.org/way/105310862,0,forward,1213608029,312823973,Chemin du Chamont,residential,210.66,9.0,219.66,True,1826.55,1800.96,-25.59,25.59,0.0,-0.12254,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.093159,6.067397,45.091963,6.065358,,,,,,asphalt,
3,osm-105310862-1-forward,105310862,https://www.openstreetmap.org/way/105310862,1,forward,312823973,1342094371,Chemin du Chamont,residential,128.02,219.66,347.67,True,1800.96,1783.13,-17.83,17.83,0.0,-0.14066,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091963,6.065358,45.091094,6.064349,,,,,,asphalt,
4,osm-119437611-0-forward,119437611,https://www.openstreetmap.org/way/119437611,0,forward,1342094371,8419912487,Chemin du Chamont,residential,59.5,347.67,407.18,True,1783.13,1774.38,-8.75,8.75,0.0,-0.14867,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091094,6.064349,45.090642,6.063959,,,,,,asphalt,
5,osm-264130580-1-forward,264130580,https://www.openstreetmap.org/way/264130580,1,forward,8419912487,251671091,D 211,secondary,110.54,407.18,517.72,True,1774.38,1766.09,-8.29,8.51,0.22,-0.07529,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090642,6.063959,45.090862,6.062603,,,,,,asphalt,
6,osm-264130580-2-forward,264130580,https://www.openstreetmap.org/way/264130580,2,forward,251671091,251671090,D 211,secondary,111.0,517.72,628.71,True,1766.09,1756.68,-9.41,9.41,0.0,-0.08515,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090862,6.062603,45.091209,6.061302,,,,,,asphalt,
7,osm-724634109-0-forward,724634109,https://www.openstreetmap.org/way/724634109,0,forward,251671090,2619567124,D 211,secondary,17.51,628.71,646.23,True,1756.68,1755.73,-0.95,0.95,0.0,-0.05433,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091209,6.061302,45.091285,6.061108,,,,,,asphalt,
8,osm-724634109-1-forward,724634109,https://www.openstreetmap.org/way/724634109,1,forward,2619567124,2619567175,D 211,secondary,137.43,646.23,783.65,True,1755.73,1743.69,-12.04,12.04,0.0,-0.08799,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091285,6.061108,45.091636,6.059441,,,,,,asphalt,
9,osm-724634109-2-forward,724634109,https://www.openstreetmap.org/way/724634109,2,forward,2619567175,9389663845,D 211,secondary,19.34,783.65,802.99,True,1743.69,1742.34,-1.35,1.35,0.0,-0.06998,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091636,6.059441,45.091685,6.059205,,,,,,asphalt,
10,osm-724634109-3-forward,724634109,https://www.openstreetmap.org/way/724634109,3,forward,9389663845,312353109,D 211,secondary,145.02,802.99,948.01,True,1742.34,1730.18,-12.16,12.16,0.0,-0.08415,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091685,6.059205,45.091835,6.057384,,,,,,asphalt,
11,osm-724634109-4-forward,724634109,https://www.openstreetmap.org/way/724634109,4,forward,312353109,251671074,D 211,secondary,263.79,948.01,1211.8,True,1730.18,1709.79,-20.39,20.44,0.05,-0.07763,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091835,6.057384,45.091385,6.056484,,,,,,asphalt,
