profile_segment,route_distance_m,edge_id,osm_way_id,name,lat,lon,nearest_limit_km_h,nearest_limit_offset_m
10,241.4,osm-49164994-1-forward,49164994,Rue de Piégut,45.054604,6.07638,47.7,1.2
11,265.3,osm-49164994-1-forward,49164994,Rue de Piégut,45.054714,6.076529,27.7,1.5
22,533.6,osm-49164994-2-forward,49164994,Rue de Piégut,45.052479,6.077198,29.2,2.3
23,557.5,osm-49164994-2-forward,49164994,Rue de Piégut,45.052432,6.077427,33.0,1.7
86,2075.5,osm-187059537-1-forward,187059537,D 211e,45.053011,6.092627,66.6,0.9
87,2100.3,osm-187059537-1-forward,187059537,D 211e,45.053077,6.092927,46.1,1.0
92,2224.7,osm-187059537-1-forward,187059537,D 211e,45.053897,6.093905,40.1,1.4
106,2574.1,osm-187059537-1-forward,187059537,D 211e,45.054418,6.098142,23.8,1.6
107,2596.6,osm-187059537-1-forward,187059537,D 211e,45.054355,6.098167,26.2,0.5
122,2970.8,osm-187059537-1-forward,187059537,D 211e,45.052314,6.094753,51.1,0.6
123,2995.7,osm-187059537-1-forward,187059537,D 211e,45.052155,6.09462,50.7,0.5
156,3817.0,osm-187059537-2-forward,187059537,D 211e,45.051572,6.084247,22.0,1.7
157,3835.7,osm-186901645-1-reverse,186901645,Rue Sainte Marie,45.051545,6.084169,29.0,0.3
162,3949.9,osm-186901645-0-reverse,186901645,Rue Sainte Marie,45.051044,6.085432,35.1,2.5
164,3997.1,osm-186901645-0-reverse,186901645,Rue Sainte Marie,45.050976,6.085996,28.6,0.1
165,4009.3,osm-186901646-3-reverse,186901646,Rue du Pissaille,45.050934,6.086156,18.3,2.2
166,4021.9,osm-186901646-2-reverse,186901646,Rue du Pissaille,45.050893,6.086071,45.6,1.3
170,4099.8,osm-186901646-0-reverse,186901646,Rue du Pissaille,45.050788,6.085066,32.4,0.4
171,4121.3,osm-186901646-0-reverse,186901646,Rue du Pissaille,45.050663,6.084884,39.7,0.3
