profile_segment,route_distance_m,edge_id,osm_way_id,name,lat,lon,nearest_limit_km_h,nearest_limit_offset_m
13,319.3,osm-905950459-1-forward,905950459,Route des Lacs,45.105741,6.078632,41.6,2.2
14,342.4,osm-905950459-1-forward,905950459,Route des Lacs,45.10557,6.078483,23.6,1.0
34,839.3,osm-905944758-0-forward,905944758,Route des Lacs,45.108629,6.074303,58.9,0.0
35,863.1,osm-905944758-0-forward,905944758,Route des Lacs,45.108626,6.074061,28.1,1.0
44,1079.0,osm-905944758-0-forward,905944758,Route des Lacs,45.10888,6.072592,29.6,2.2
45,1098.0,osm-1082699911-0-forward,1082699911,Route des Lacs,45.108914,6.072364,32.5,2.2
107,2616.3,osm-905944752-0-forward,905944752,Route des Lacs,45.097215,6.069571,45.3,2.1
108,2637.9,osm-905944752-0-forward,905944752,Route des Lacs,45.097111,6.069713,37.1,0.5
109,2656.0,osm-234171512-0-forward,234171512,Rond-Point des Pistes,45.096954,6.069787,29.9,1.2
110,2673.5,osm-264130584-0-forward,264130584,Rond-Point des Pistes,45.096986,6.069944,18.7,0.5
136,3173.1,osm-264100535-6-forward,264100535,D 211F,45.092947,6.071794,60.5,1.0
140,3217.3,osm-264100597-0-forward,264100597,Rond-Point du Tour de France,45.092547,6.071868,25.1,1.9
141,3226.7,osm-264100598-0-forward,264100598,Rond-Point du Tour de France,45.092512,6.071923,22.9,2.0
142,3237.3,osm-28452049-0-forward,28452049,Rond-Point du Tour de France,45.092525,6.072089,22.9,0.4
173,3844.3,osm-28476168-4-forward,28476168,Avenue des Jeux,45.090202,6.068264,32.1,0.6
196,4278.0,osm-28429107-4-forward,28429107,Chemin de la Chapelle,45.090267,6.065896,98.3,2.5
199,4311.0,osm-1112039601-0-forward,1112039601,Place Joseph Paganon,45.090261,6.065528,26.1,1.5
200,4327.7,osm-1112039601-0-forward,1112039601,Place Joseph Paganon,45.090417,6.065408,26.3,0.5
201,4344.3,osm-119437608-0-forward,119437608,D 211,45.090443,6.06525,45.3,0.3
207,4462.3,osm-93964270-0-forward,93964270,Chemin de l'Alaska,45.090569,6.063885,30.0,2.5
214,4579.2,osm-93964252-0-reverse,93964252,unclassified,45.089957,6.064582,28.2,0.0
219,4642.2,osm-105500354-0-forward,105500354,Rue des Sagnes,45.089596,6.064058,30.7,0.6
225,4793.0,osm-105500354-0-forward,105500354,Rue des Sagnes,45.089715,6.062142,85.1,1.3
245,5283.4,osm-105500342-0-reverse,105500342,Rue des Sagnes,45.091424,6.056513,19.6,1.1
246,5296.8,osm-724634109-5-forward,724634109,D 211,45.091369,6.056543,22.2,0.2
265,5717.6,osm-264100584-1-forward,264100584,D 211,45.088816,6.060406,69.9,2.1
266,5738.6,osm-264100584-2-forward,264100584,D 211,45.08871,6.060475,19.9,0.8
279,6060.8,osm-264100584-2-forward,264100584,D 211,45.08892,6.056371,41.4,1.7
283,6158.0,osm-264100584-2-forward,264100584,D 211,45.088157,6.05582,22.5,0.6
284,6179.7,osm-264100584-2-forward,264100584,D 211,45.088108,6.055925,33.3,0.5
