position,edge_id,osm_way_id,osm_url,piece_index,direction,from_node,to_node,name,highway,travelled_m,route_start_m,route_end_m,entered,start_elevation_m,end_elevation_m,net_dz_m,descent_m,ascent_m,mean_grade_ratio,surface_class,surface_is_assumed,usability,usability_reason,structure_status,start_lat,start_lon,end_lat,end_lon,tag_bridge,tag_tunnel,tag_covered,tag_layer,tag_tracktype,tag_surface,tag_smoothness
1,osm-905950459-0-forward,905950459,https://www.openstreetmap.org/way/905950459,0,forward,332197315,484191038,Route des Lacs,unclassified,257.09,0.0,257.09,True,2043.29,2024.29,-19.0,19.0,0.0,-0.07414,asphalt_degraded,True,reference_vtc,highway=unclassified carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.107316,6.081466,45.106257,6.078818,,,,,,,
2,osm-905950459-1-forward,905950459,https://www.openstreetmap.org/way/905950459,1,forward,484191038,3641375775,Route des Lacs,unclassified,394.29,257.09,651.38,True,2024.29,1996.42,-27.87,27.87,0.0,-0.07089,asphalt_degraded,True,reference_vtc,highway=unclassified carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.106257,6.078818,45.107938,6.07649,,,,,,,
3,osm-905944758-0-forward,905944758,https://www.openstreetmap.org/way/905944758,0,forward,3641375775,1950639473,Route des Lacs,unclassified,434.5,651.38,1085.87,True,1996.42,1972.06,-24.36,24.36,0.0,-0.05617,asphalt_degraded,True,reference_vtc,highway=unclassified carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.107938,6.07649,45.108919,6.07249,,,,,,,
4,osm-1082699911-0-forward,1082699911,https://www.openstreetmap.org/way/1082699911,0,forward,1950639473,1950639383,Route des Lacs,unclassified,210.81,1085.87,1296.69,True,1972.06,1965.95,-6.11,6.23,0.12,-0.029,asphalt_degraded,True,reference_vtc,highway=unclassified carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.108919,6.07249,45.107927,6.070264,,,,,,,
5,osm-905944753-0-forward,905944753,https://www.openstreetmap.org/way/905944753,0,forward,1950639383,332197825,Route des Lacs,unclassified,605.66,1296.69,1902.34,True,1965.95,1909.63,-56.32,56.32,0.0,-0.09341,asphalt_degraded,True,reference_vtc,highway=unclassified carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.107927,6.070264,45.10331,6.066727,,,,,,,
6,osm-905944752-0-forward,905944752,https://www.openstreetmap.org/way/905944752,0,forward,332197825,2424670050,Route des Lacs,unclassified,744.75,1902.34,2647.09,True,1909.63,1856.14,-53.49,53.49,0.0,-0.07201,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.10331,6.066727,45.097073,6.069811,,,,,,asphalt,
7,osm-234171512-0-forward,234171512,https://www.openstreetmap.org/way/234171512,0,forward,2424670050,254500245,Rond-Point des Pistes,residential,17.85,2647.09,2664.94,True,1856.14,1855.22,-0.92,0.92,0.0,-0.05161,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.097073,6.069811,45.096919,6.069875,,,,,,asphalt,
8,osm-40188688-0-forward,40188688,https://www.openstreetmap.org/way/40188688,0,forward,254500245,340039361,Rue du Pic Blanc,residential,121.07,2664.94,2786.01,True,1855.22,1848.91,-6.31,6.31,0.0,-0.05219,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.096919,6.069875,45.095878,6.070324,,,,,,asphalt,
9,osm-222918435-0-forward,222918435,https://www.openstreetmap.org/way/222918435,0,forward,340039361,9580296724,D 211F,secondary,10.41,2786.01,2796.43,True,1848.91,1848.34,-0.57,0.57,0.0,-0.05482,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.095878,6.070324,45.095788,6.070358,,,,,,asphalt,
10,osm-1306494913-0-forward,1306494913,https://www.openstreetmap.org/way/1306494913,0,forward,9580296724,6795986757,D 211F,secondary,10.33,2796.43,2806.76,True,1848.34,1847.77,-0.57,0.57,0.0,-0.05524,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.095788,6.070358,45.095699,6.070398,,,,,,asphalt,
