profile_segment,route_distance_m,edge_id,osm_way_id,name,lat,lon,nearest_limit_km_h,nearest_limit_offset_m
13,319.3,osm-905950459-1-forward,905950459,Route des Lacs,45.105741,6.078632,41.6,2.2
14,342.4,osm-905950459-1-forward,905950459,Route des Lacs,45.10557,6.078483,23.6,1.0
34,839.3,osm-905944758-0-forward,905944758,Route des Lacs,45.108629,6.074303,58.9,0.0
35,863.1,osm-905944758-0-forward,905944758,Route des Lacs,45.108626,6.074061,28.1,1.0
44,1079.0,osm-905944758-0-forward,905944758,Route des Lacs,45.10888,6.072592,29.6,2.2
45,1098.0,osm-1082699911-0-forward,1082699911,Route des Lacs,45.108914,6.072364,32.5,2.2
107,2616.3,osm-905944752-0-forward,905944752,Route des Lacs,45.097215,6.069571,45.3,2.1
108,2637.9,osm-905944752-0-forward,905944752,Route des Lacs,45.097111,6.069713,37.1,0.5
132,3131.7,osm-264100535-6-forward,264100535,D 211F,45.092947,6.071794,60.5,1.0
133,3153.2,osm-264100533-0-forward,264100533,D 211F,45.092793,6.071837,82.8,2.5
134,3166.3,osm-264100533-0-forward,264100533,D 211F,45.092658,6.071855,28.6,0.6
135,3167.7,osm-1040486385-0-forward,1040486385,Rond-Point du Tour de France,45.092648,6.071855,27.9,0.8
146,3401.9,osm-91229843-6-reverse,91229843,Promenade Clotaire Collomb,45.092077,6.069301,24.7,2.5
162,3734.6,osm-28476168-4-forward,28476168,Avenue des Jeux,45.090202,6.068264,32.1,0.6
181,4116.0,osm-28429107-4-forward,28429107,Chemin de la Chapelle,45.090267,6.065896,98.3,2.5
183,4134.0,osm-28429107-5-forward,28429107,Chemin de la Chapelle,45.090279,6.065701,43.6,4.8
184,4149.0,osm-1112039601-0-forward,1112039601,Place Joseph Paganon,45.090261,6.065528,26.1,1.5
185,4165.7,osm-1112039601-0-forward,1112039601,Place Joseph Paganon,45.090417,6.065408,26.3,0.5
186,4182.3,osm-119437608-0-forward,119437608,D 211,45.090443,6.06525,45.3,0.3
192,4300.2,osm-93964270-0-forward,93964270,Chemin de l'Alaska,45.090569,6.063885,30.0,2.5
200,4425.9,osm-1054770663-0-forward,1054770663,Avenue de l'Eclose,45.089869,6.064604,29.2,1.2
201,4442.3,osm-1054770667-0-forward,1054770667,Avenue de l'Eclose,45.089784,6.064416,104.4,7.5
204,4480.2,osm-105500354-0-forward,105500354,Rue des Sagnes,45.089596,6.064058,30.7,0.6
210,4631.0,osm-105500354-0-forward,105500354,Rue des Sagnes,45.089715,6.062142,85.1,1.3
211,4655.7,osm-1010059118-0-forward,1010059118,Rue des Sagnes,45.089738,6.061852,65.5,2.6
230,5121.3,osm-105500342-0-reverse,105500342,Rue des Sagnes,45.091424,6.056513,19.6,1.1
231,5134.7,osm-724634109-5-forward,724634109,D 211,45.091385,6.056484,22.2,0.2
250,5555.6,osm-264100584-1-forward,264100584,D 211,45.088816,6.060406,69.9,2.1
251,5576.5,osm-264100584-2-forward,264100584,D 211,45.08871,6.060475,19.9,0.8
264,5898.8,osm-264100584-2-forward,264100584,D 211,45.08892,6.056371,41.4,1.7
268,5996.0,osm-264100584-2-forward,264100584,D 211,45.088157,6.05582,22.5,0.6
269,6017.6,osm-264100584-2-forward,264100584,D 211,45.088108,6.055925,33.3,0.5
