scenario,rank,distance_unbraked_m,distance_ideal_m,distance_anticipated_m,relative_difference,braking_cost_vs_unbraked,energy_ideal_j,energy_anticipated_j,braking_distance_ideal_m,braking_distance_anticipated_m,binding_constraints_ideal,binding_constraints_anticipated,braking_substeps_ideal,braking_substeps_anticipated,max_free_speed_km_h,max_speed_reached_km_h,brake_deceleration_m_s2
paved_reference,1,4506.0,4494.8,4494.8,0.0,0.00248,52020.6,54589.6,319.9,469.8,19,27,873,1210,55.1,55.1,1.5
paved_reference,2,4237.3,4179.0,4178.6,7.9e-05,0.013761,59036.5,61951.0,351.0,512.4,22,30,949,1314,55.1,55.1,1.5
paved_reference,3,4536.0,3965.1,3964.7,0.000102,0.125859,29663.5,31232.4,219.7,301.4,14,18,519,691,55.1,55.1,1.5
paved_reference,4,3821.0,3809.8,3809.8,0.0,0.002924,47274.7,49629.3,270.3,407.5,18,25,760,1069,55.1,55.1,1.5
paved_reference,5,3690.8,3679.7,3679.7,0.0,0.003027,41286.8,43545.0,244.5,374.0,16,23,687,982,55.1,55.1,1.5
paved_reference,6,3552.2,3493.9,3493.6,9.4e-05,0.016415,54290.6,56990.7,301.5,450.0,21,28,836,1173,55.1,55.1,1.5
paved_reference,7,3422.1,3363.8,3363.5,9.8e-05,0.017039,48302.7,50906.4,275.6,416.5,19,26,763,1086,55.1,55.1,1.5
paved_reference,8,3850.9,3280.1,3279.6,0.000123,0.148248,24917.6,26272.1,170.2,239.1,13,16,406,550,55.1,55.1,1.5
paved_reference,9,3720.8,3149.9,3149.5,0.000128,0.153433,18929.7,20187.8,144.3,205.6,11,14,333,463,55.1,55.1,1.5
paved_reference,10,2826.8,2798.0,2794.4,0.001301,0.0102,30620.5,33231.3,223.4,350.1,16,19,660,919,55.5,55.5,1.5
paved_reference,11,2700.8,2700.8,2700.8,0.0,0.0,85364.5,89685.3,479.9,748.7,32,43,1044,1527,63.7,63.6,1.5
paved_reference,12,2642.0,2642.0,2642.0,0.0,0.0,70739.6,75834.1,492.5,741.9,28,43,1168,1670,69.1,68.9,1.5
paved_reference,13,2622.3,2622.3,2622.3,0.0,0.0,77698.2,84716.3,499.9,799.3,29,45,1188,1747,58.3,58.3,1.5
