trip_definition,rank,distance_m,edges_used,distinct_edges,repeated_traversals,net_dz_m,elapsed_time_s,max_speed_km_h,restart_count,stop_reason,termination,edge_ids
once_per_way_piece,1,4494.8,18,18,0,-280.3,490.5,55.12,0,definitive_stop,definitive_stop,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward
once_per_way_piece,2,4179.0,17,17,0,-257.6,450.5,55.12,0,definitive_stop,definitive_stop,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse
once_per_way_piece,3,3965.1,9,9,0,-280.3,416.8,55.12,0,definitive_stop,definitive_stop,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward
once_per_way_piece,4,3809.8,13,13,0,-252.6,387.6,55.12,0,definitive_stop,definitive_stop,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward
once_per_way_piece,5,3679.7,17,17,0,-233.4,397.9,55.12,0,definitive_stop,definitive_stop,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward
once_per_way_piece,6,3493.9,12,12,0,-230.0,347.7,55.12,0,definitive_stop,definitive_stop,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse
once_per_way_piece,7,3363.8,16,16,0,-210.8,358.0,55.12,0,definitive_stop,definitive_stop,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse
once_per_way_piece,8,3280.1,4,4,0,-252.6,313.9,55.12,0,definitive_stop,definitive_stop,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward
once_per_way_piece,9,3149.9,8,8,0,-233.4,324.2,55.12,0,definitive_stop,definitive_stop,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward
once_per_way_piece,10,2798.0,2,2,0,-197.0,284.3,55.54,0,definitive_stop,definitive_stop,osm-39182590-0-reverse;osm-222916418-0-reverse
cycles_allowed,1,4494.8,18,18,0,-280.3,490.5,55.12,0,definitive_stop,definitive_stop,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward
cycles_allowed,2,4179.0,17,17,0,-257.6,450.5,55.12,0,definitive_stop,definitive_stop,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse
cycles_allowed,3,3965.1,9,9,0,-280.3,416.8,55.12,0,definitive_stop,definitive_stop,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward
cycles_allowed,4,3809.8,13,13,0,-252.6,387.6,55.12,0,definitive_stop,definitive_stop,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward
cycles_allowed,5,3679.7,17,17,0,-233.4,397.9,55.12,0,definitive_stop,definitive_stop,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward
cycles_allowed,6,3493.9,12,12,0,-230.0,347.7,55.12,0,definitive_stop,definitive_stop,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse
cycles_allowed,7,3363.8,16,16,0,-210.8,358.0,55.12,0,definitive_stop,definitive_stop,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse
cycles_allowed,8,3280.1,4,4,0,-252.6,313.9,55.12,0,definitive_stop,definitive_stop,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward
cycles_allowed,9,3149.9,8,8,0,-233.4,324.2,55.12,0,definitive_stop,definitive_stop,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward
cycles_allowed,10,2798.0,2,2,0,-197.0,284.3,55.54,0,definitive_stop,definitive_stop,osm-39182590-0-reverse;osm-222916418-0-reverse
