trip_definition,rank,distance_m,edges_used,distinct_edges,repeated_traversals,net_dz_m,elapsed_time_s,max_speed_km_h,restart_count,stop_reason,termination,edge_ids
once_per_way_piece,1,6291.2,61,61,0,-443.3,710.7,68.29,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-93964270-0-forward;osm-105506488-2-reverse;osm-105506488-1-reverse;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,2,6253.6,57,57,0,-443.3,685.0,56.88,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,3,6174.7,60,60,0,-443.3,686.3,68.29,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105506488-0-forward;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,4,6159.2,59,59,0,-443.3,683.0,68.29,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105500336-2-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,5,6141.2,59,59,0,-443.3,676.9,68.29,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-264100596-1-forward;osm-1054770668-0-forward;osm-1054770664-0-forward;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,6,6096.0,61,61,0,-443.3,643.0,68.29,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-93964270-0-forward;osm-105506488-2-reverse;osm-105506488-1-reverse;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,7,6058.4,57,57,0,-443.3,617.3,56.88,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,8,5979.5,60,60,0,-443.3,618.6,68.29,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105506488-0-forward;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,9,5964.0,59,59,0,-443.3,615.2,68.29,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105500336-2-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
once_per_way_piece,10,5946.1,59,59,0,-443.3,609.2,68.29,0,route_end,network_end,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-264100596-1-forward;osm-1054770668-0-forward;osm-1054770664-0-forward;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward
