variant,description,routes_evaluated,top1_unchanged,positions_changed,order_stability,median_distance_delta,min_distance_delta,max_distance_delta,top1_distance_m
baseline,"central Crr, CdA 0.55, rotating 1.5 kg, dt 0.05, raw_25m, ideal",20,True,0,1.0,0.0,0.0,0.0,4494.8
crr_low,low Crr bound for every surface,20,True,0,1.0,2e-05,0.0,0.00095,4498.1
crr_high,high Crr bound for every surface,20,False,20,0.0,-5e-05,-0.88411,0.0,3805.6
cda_low,drag area 0.45 m2,20,True,0,1.0,2e-05,0.0,0.01031,4506.5
cda_high,drag area 0.65 m2,20,False,20,0.0,-0.00018,-0.88455,0.0,3799.7
rotating_zero,rotating equivalent mass disabled,20,True,0,1.0,-4e-05,-0.00075,0.0,4493.8
rotating_high,rotating equivalent mass 3 kg,20,True,0,1.0,4e-05,0.0,0.01031,4495.9
method_raw_10m,elevation method raw_10m,19,True,8,0.579,0.00541,-0.90708,0.01303,4519.1
method_net_dz,elevation method net_dz_constrained,9,False,0,1.0,0.00508,0.00302,0.01807,3984.7
lateral_conservative,lateral limit 0.20 g,20,False,20,0.0,-0.30193,-0.94047,0.0,3797.5
lateral_committed,lateral limit 0.50 g,20,True,0,1.0,0.00059,0.0,0.01178,4497.9
braking_none,no speed envelope at all,20,False,9,0.55,0.00298,0.0,0.18124,4536.0
braking_anticipated,anticipated braking at 1.5 m/s2,20,True,0,1.0,0.0,-0.0013,0.0,4494.8
time_step_fine,integrator step 0.01 s,20,True,0,1.0,0.0,-0.00046,2e-05,4494.9
time_step_coarse,integrator step 0.20 s,20,True,0,1.0,0.0,-6e-05,0.01031,4494.6
zero_epsilon_loose,zero detected at 1e-3 m/s,20,True,0,1.0,0.0,0.0,0.0,4494.8
zero_epsilon_tight,zero detected at 1e-9 m/s,20,True,0,1.0,0.0,0.0,0.0,4494.8
