scenario,rank,node_start_distance_m,screening_step_m,screening_best_offset_m,screening_gain_m,refining_step_m,refining_best_offset_m,refining_gain_m,refining_relative_gain,screening_captured_share
paved_reference,1,4494.8,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
paved_reference,2,4179.0,100.0,100.0,240.9,25.0,25.0,315.9,0.0756,0.763
paved_reference,3,3809.8,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
paved_reference,4,3679.7,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
paved_reference,5,3493.9,100.0,117.4,223.4,25.0,42.7,297.4,0.0851,0.751
paved_reference,6,3363.8,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
paved_reference,7,2798.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
paved_reference,8,2798.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
paved_reference,9,2700.8,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
paved_reference,10,2642.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
reference_vtc,1,4494.8,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
reference_vtc,2,4378.5,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
reference_vtc,3,4378.5,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
reference_vtc,4,4327.1,100.0,100.0,92.8,25.0,25.0,167.8,0.0388,0.553
reference_vtc,5,3809.8,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
reference_vtc,6,3679.7,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
reference_vtc,7,3642.0,100.0,117.4,75.4,25.0,42.7,149.4,0.041,0.505
reference_vtc,8,3511.9,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
reference_vtc,9,3301.3,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
reference_vtc,10,3301.3,100.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
