rank,distance_m,elapsed_time_s,moving_time_s,start_elevation_m,end_elevation_m,net_dz_m,ascent_crossed_m,descent_m,mean_speed_km_h,max_speed_km_h,max_free_speed_km_h,min_speed_before_stop_km_h,braking_constrained,braking_energy_j,braking_distance_m,active_constraints,braking_substeps,restart_count,distance_to_5kmh_m,distance_to_1kmh_m,distance_to_030ms_m,surface_mix,surface_assumed_share,termination,stop_reason,start_lat,start_lon,end_lat,end_lon,start_offset_m,roads,edges_used,osm_way_ids,start_osm_url,edge_ids,scenario
1,4494.8,490.5,490.5,1636.1,1355.9,-280.3,15.9,296.2,32.99,55.12,55.12,0.09,True,52020.6,319.9,19,873,0,4493.2,4494.8,4494.8,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.052416,6.076533,45.047246,6.084524,0.0,Rue de Piégut > Rue de la Piscine > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,18,49164994;186907705;935439941;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/49164994,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,paved_reference
2,4179.0,450.5,450.5,1636.1,1378.5,-257.6,17.8,275.4,33.39,55.12,55.12,0.36,True,59036.5,351.0,22,949,0,4178.7,4179.0,4179.0,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.052416,6.076533,45.05079,6.084685,0.0,Rue de Piégut > Rue de la Piscine > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G > Rue de la Grande Fontaine,17,49164994;186907705;935439941;187059537;186901645;186901646;760412724;760412717,https://www.openstreetmap.org/way/49164994,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse,paved_reference
3,3965.1,416.8,416.8,1636.1,1355.9,-280.3,9.9,290.2,34.25,55.12,55.12,0.33,True,29663.5,219.7,14,519,0,3964.6,3965.1,3965.1,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.052416,6.076533,45.047246,6.084524,0.0,Rue de Piégut > Rue de la Piscine > D 211e,9,49164994;186907705;935439941;187059537;560199122,https://www.openstreetmap.org/way/49164994,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward,paved_reference
4,3809.8,387.6,387.6,1608.5,1355.9,-252.6,12.3,264.9,35.39,55.12,55.12,0.09,True,47274.7,270.3,18,760,0,3808.1,3809.7,3809.7,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.057327,6.077078,45.047246,6.084524,0.0,Rue du Col > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,13,49164999;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/49164999,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,paved_reference
5,3679.7,397.9,397.9,1589.3,1355.9,-233.4,12.4,245.8,33.29,55.12,55.12,0.09,True,41286.8,244.5,16,687,0,3678.0,3679.6,3679.6,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.05581,6.077537,45.047246,6.084524,0.0,service > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,17,1018237136;560199123;1354478669;935439941;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/1018237136,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,paved_reference
6,3493.9,347.7,347.7,1608.5,1378.5,-230.0,14.1,244.1,36.18,55.12,55.12,0.36,True,54290.6,301.5,21,836,0,3493.7,3493.9,3493.9,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.057327,6.077078,45.05079,6.084685,0.0,Rue du Col > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G > Rue de la Grande Fontaine,12,49164999;187059537;186901645;186901646;760412724;760412717,https://www.openstreetmap.org/way/49164999,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse,paved_reference
7,3363.8,358.0,358.0,1589.3,1378.5,-210.8,14.3,225.0,33.83,55.12,55.12,0.36,True,48302.7,275.6,19,763,0,3363.5,3363.8,3363.8,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.05581,6.077537,45.05079,6.084685,0.0,service > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G > Rue de la Grande Fontaine,16,1018237136;560199123;1354478669;935439941;187059537;186901645;186901646;760412724;760412717,https://www.openstreetmap.org/way/1018237136,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse,paved_reference
8,3280.1,313.9,313.9,1608.5,1355.9,-252.6,6.3,258.9,37.61,55.12,55.12,0.33,True,24917.6,170.2,13,406,0,3279.5,3280.0,3280.0,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.057327,6.077078,45.047246,6.084524,0.0,Rue du Col > D 211e,4,49164999;187059537;560199122,https://www.openstreetmap.org/way/49164999,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward,paved_reference
9,3149.9,324.2,324.2,1589.3,1355.9,-233.4,6.4,239.8,34.98,55.12,55.12,0.33,True,18929.7,144.3,11,333,0,3149.4,3149.9,3149.9,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.05581,6.077537,45.047246,6.084524,0.0,service > D 211e,8,1018237136;560199123;1354478669;935439941;187059537;560199122,https://www.openstreetmap.org/way/1018237136,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-560199122-0-forward,paved_reference
10,2798.0,284.3,284.3,1047.6,850.6,-197.0,18.7,215.7,35.43,55.54,55.54,0.28,True,30620.5,223.4,16,660,0,2797.4,2798.0,2798.0,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.119779,6.043061,45.127451,6.047481,0.0,Route de Sardonne > D 44B,2,39182590;222916418,https://www.openstreetmap.org/way/39182590,osm-39182590-0-reverse;osm-222916418-0-reverse,paved_reference
